year,demand_yearly_variation
2022,1.0
2023,1.0112123335669236
2024,1.0224246671338473
2025,1.0336370007007711
2026,1.0448493342676946
2027,1.0560616678346182
2028,1.067274001401542
2029,1.0784863349684652
2030,1.0896986685353887
2031,1.1009110021023123
2032,1.1121233356692357
2033,1.1233356692361594
2034,1.1345480028030832
2035,1.1457603363700068
2036,1.1569726699369305
2037,1.1681850035038541
2038,1.179397337070778
2039,1.1906096706377016
2040,1.2018220042046253
2041,1.2130343377715487
2042,1.2242466713384725
2043,1.2354590049053964
2044,1.2466713384723194
2045,1.2578836720392426
2046,1.2690960056061662
2047,1.2803083391730898
2048,1.2915206727400135
2049,1.3027330063069373
2050,1.313945339873861
2021,1.0
