year,demand_yearly_variation
2022,1.0
2023,0.9828042328042328
2024,0.9656084656084656
2025,0.9484126984126984
2026,0.9312169312169312
2027,0.914021164021164
2028,0.8968253968253967
2029,0.8796296296296297
2030,0.8624338624338624
2031,0.8452380952380952
2032,0.828042328042328
2033,0.8108465608465608
2034,0.7936507936507936
2035,0.7764550264550264
2036,0.7592592592592592
2037,0.7420634920634921
2038,0.7248677248677249
2039,0.7076719576719577
2040,0.6904761904761905
2041,0.6732804232804233
2042,0.656084656084656
2043,0.6388888888888888
2044,0.6216931216931216
2045,0.6044973544973544
2046,0.5873015873015872
2047,0.57010582010582
2048,0.5529100529100528
2049,0.5357142857142856
2050,0.5185185185185185
