year,demand_yearly_variation
2022,1.0
2023,1.0580357142857144
2024,1.1160714285714286
2025,1.1741071428571428
2026,1.2321428571428572
2027,1.2901785714285716
2028,1.3482142857142858
2029,1.40625
2030,1.4642857142857144
2031,1.5223214285714288
2032,1.580357142857143
2033,1.6383928571428572
2034,1.6964285714285716
2035,1.754464285714286
2036,1.8125000000000002
2037,1.8705357142857144
2038,1.9285714285714288
2039,1.9866071428571432
2040,2.0446428571428577
2041,2.1026785714285716
2042,2.160714285714286
2043,2.2187500000000004
2044,2.2767857142857144
2045,2.334821428571429
2046,2.3928571428571432
2047,2.4508928571428577
2048,2.508928571428572
2049,2.566964285714286
2050,2.6250000000000004
