year,price_import
2022,1.000328993239804
2023,1.000328993239804
2024,1.0016449661990205
2025,1.0016449661990205
2026,1.0029609391582366
2027,1.0029609391582366
2028,1.0042769121174524
2029,1.0042769121174524
2030,1.0052546880728752
2031,1.0052546880728752
2032,1.005217873016917
2033,1.005217873016917
2034,1.0051810579609588
2035,1.0051810579609588
2036,1.0051442429050006
2037,1.0051442429050006
2038,1.0051074278490422
2039,1.0051074278490422
2040,1.0052642038100368
2041,1.0052642038100368
2042,1.0060017528218888
2043,1.0060017528218888
2044,1.006739301833741
2045,1.006739301833741
2046,1.0074768508455927
2047,1.0074768508455927
2048,1.008214399857445
2049,1.008214399857445
2050,1.0087675616163347
