node,year_construction,capacity_existing
AT,1995,4.060715004571753e-05
AT,1996,6.247253853187313e-05
AT,1997,5.6225284678685815e-05
AT,1998,3.7483523119123865e-05
AT,2001,1.5618134632968282e-05
AT,2009,0.0001218214501371526
AT,2010,0.0003498462157784895
AT,2011,0.001971008590680597
AT,2012,0.0013337886976554914
AT,2013,0.0020428520099922513
AT,2014,0.004001366092966474
AT,2015,0.005238322355897562
AT,2016,0.01195099662114733
AT,2017,0.016970665092183337
AT,2018,0.021106347142993337
AT,2019,0.028868560055578574
AT,2020,0.04989056927155388
AT,2021,0.10422293603272394
BE,2004,0.0008232447843229975
BE,2010,0.00014600945231389012
BE,2011,0.0008201382002312126
BE,2012,0.0017396870913995418
BE,2013,0.0015563986299842328
BE,2014,0.0036253836351129737
BE,2015,0.0042249543648274586
BE,2016,0.006402669813168671
BE,2017,0.008440588977379562
BE,2018,0.011690075937386564
BE,2019,0.027623745744151294
BE,2020,0.04673545107681197
BE,2021,0.07074934610630922
CH,1993,0.00025712667686499563
CH,1995,0.00018672294391386586
CH,1996,0.00027549286806963816
CH,1997,0.00018672294391386586
CH,1998,0.0001744788164441042
CH,1999,0.0002173332625882701
CH,2000,0.00019590603951618715
CH,2001,4.897650987904679e-05
CH,2002,0.00022957739005803184
CH,2003,5.5098573613927645e-05
CH,2004,6.12206373488085e-05
CH,2005,3.979341427672552e-05
CH,2010,0.0006122063734880849
CH,2011,0.0015305159337202121
CH,2012,0.002754928680696382
CH,2013,0.004285444614416594
CH,2014,0.005815960548136807
CH,2015,0.011938024283017656
CH,2016,0.010713611536041483
CH,2017,0.015087826074613854
CH,2018,0.016563243434720137
CH,2019,0.04033521691726247
CH,2020,0.06046456247755071
CH,2021,0.09807852206465863
CZ,2021,0.009657712526114987
DE,1993,0.0010481423236875604
DE,1994,0.0006585673007240423
DE,1995,0.0006431079744159663
DE,1996,0.0008409873511593404
DE,1997,0.0008131605638048035
DE,1998,0.0006492917049391966
DE,1999,0.0003741156966554419
DE,2000,0.0003370133135160592
DE,2001,0.00014531766729591547
DE,2002,5.874543997068922e-05
DE,2003,8.657222732522623e-05
DE,2004,0.00018860378095852856
DE,2005,0.00014531766729591547
DE,2006,5.874543997068922e-05
DE,2007,2.4734922092921777e-05
DE,2008,0.00011130714941814802
DE,2009,0.000500882172381666
DE,2010,0.001672699106533835
DE,2011,0.006659877773519189
DE,2012,0.009139553713334596
DE,2013,0.018708876698033707
DE,2014,0.026348875759484927
DE,2015,0.03822473022934899
DE,2016,0.03527818263502969
DE,2017,0.077469775995031
DE,2018,0.11149884506436815
DE,2019,0.19565632562027288
DE,2020,0.6003258347909965
DE,2021,1.1005834503898162
DK,2016,0.0038684445220903557
DK,2017,0.0021131187073236647
DK,2018,0.004721642958187754
DK,2019,0.016822382067999245
DK,2020,0.043479481592949155
DK,2021,0.07607227346365192
EE,2011,0.00018032882702818034
EE,2012,0.0016487207042576487
EE,2013,0.0004186204913154187
EE,2014,0.0010658721740415661
EE,2015,9.660472876509662e-05
EE,2016,0.00010304504401610305
EE,2017,8.372409826308373e-05
EE,2018,0.0002672730829167673
EE,2019,0.000247952137163748
EE,2020,0.0011077342231731078
EE,2021,0.0015682167636200683
EL,1997,1.573826780030793e-05
EL,1999,4.7214803400923796e-05
EL,2000,4.7214803400923796e-05
EL,2005,1.6637597388896953e-05
EL,2006,2.4956396083345433e-05
EL,2007,3.3275194777793906e-05
EL,2008,4.1593993472242385e-05
EL,2009,4.9912792166690865e-05
EL,2010,5.823159086113934e-05
EL,2011,6.655038955558781e-05
EL,2012,7.486918825003628e-05
EL,2013,8.318798694448477e-05
EL,2014,9.150678563893324e-05
EL,2015,9.982558433338173e-05
EL,2016,0.00010814438302783018
EL,2017,0.00011646318172227868
EL,2018,0.00024236932412474214
EL,2019,0.0005917588692915782
EL,2020,0.003717378854432733
EL,2021,0.006842998839573888
ES,2014,0.0036966077812320645
ES,2015,0.008244593476515884
ES,2016,0.00658878863631964
ES,2017,0.012733107920450498
ES,2018,0.02012319341705414
ES,2019,0.03259963593694492
ES,2020,0.05702040978044413
ES,2021,0.07637360699581912
FI,2008,1.5580425088560214e-05
FI,2010,4.674127526568064e-05
FI,2011,9.348255053136129e-05
FI,2012,0.00015892033590331417
FI,2013,0.00015580425088560214
FI,2014,0.0005702435582413039
FI,2015,0.0007572086593040264
FI,2016,0.0006948869589497856
FI,2017,0.0015642746788914453
FI,2018,0.002418081973744545
FI,2019,0.005911213278599745
FI,2020,0.013227780900187619
FI,2021,0.03163761118483036
FR,1994,9.919083720740913e-05
FR,1995,0.0004091622034805627
FR,1996,0.0015188596947384525
FR,1997,0.0009268143851567291
FR,1998,0.0015653553996794255
FR,1999,0.0016397485275849825
FR,2000,0.0007470309927183
FR,2001,0.0012615834607317348
FR,2002,0.0009609112354467761
FR,2003,0.00035026764388866355
FR,2004,0.0014258682848565063
FR,2005,0.0007346321380673739
FR,2006,4.33959912782415e-05
FR,2007,1.859828197638921e-05
FR,2008,1.2398854650926141e-05
FR,2009,3.719656395277842e-05
FR,2010,0.0005796464549307971
FR,2011,0.008152246932983939
FR,2012,0.017547479044723223
FR,2013,0.027218585672445613
FR,2014,0.032754674274084135
FR,2015,0.053528955241710884
FR,2016,0.06744356987371275
FR,2017,0.07721386733864255
FR,2018,0.09592063929322737
FR,2019,0.1350359260032366
FR,2020,0.34871468734363503
FR,2021,0.5132071922838095
HR,2004,1.2358450873719955e-05
HR,2006,6.797147980545976e-05
HR,2007,0.00012667412145562956
HR,2008,0.00014830141048463943
HR,2009,8.959876883446967e-05
HR,2010,7.106109252388974e-05
HR,2011,0.0001390325723293495
HR,2012,0.0001946456012610893
HR,2014,0.00014521179776620947
HR,2015,0.00024716901747439914
HR,2016,0.00020391443941637926
HR,2017,0.0001699286995136494
HR,2018,0.000562309514754258
HR,2019,0.0008620019484419669
HR,2020,0.001974262527076763
HR,2021,0.0034634558573600174
HU,1993,3.311101782516204e-05
HU,1994,3.9131202884282415e-05
HU,1995,3.311101782516204e-05
HU,2006,1.3043734294760803e-05
HU,2007,1.9565601442141207e-05
HU,2008,2.6087468589521605e-05
HU,2009,3.2609335736902e-05
HU,2010,3.9131202884282415e-05
HU,2011,3.612111035472222e-05
HU,2012,5.117157300252315e-05
HU,2013,5.719175806164352e-05
HU,2014,0.00021371656959877318
HU,2015,0.0005448267478503936
HU,2016,0.0005297762852025927
HU,2017,0.002254559304640579
HU,2018,0.003913120288428241
HU,2019,0.005520509699213381
HU,2020,0.009171751937569887
HU,2021,0.012982529079993081
IE,2007,1.3255389727692329e-05
IE,2008,1.7673852970256443e-05
IE,2009,2.2092316212820554e-05
IE,2010,6.627694863846166e-05
IE,2011,0.00021461107178168535
IE,2012,0.0004292221435633707
IE,2013,0.00015464621348974388
IE,2014,0.0006122727636124554
IE,2015,0.0015590863155904792
IE,2016,0.0012687301596505517
IE,2017,0.00199146450432711
IE,2018,0.003951368556921619
IE,2019,0.011566905559998189
IE,2020,0.012860884081034822
IE,2021,0.029032459548819466
IT,2019,0.03280902340651943
IT,2020,0.09562599830038127
IT,2021,0.21387699031438007
LT,2013,1.2063706769102202e-05
LT,2014,0.0001387326278446753
LT,2015,0.00031968822938120836
LT,2016,0.0006092171918396612
LT,2017,0.000853507253913981
LT,2018,0.0010374787821427894
LT,2019,0.0005277871711482214
LT,2020,0.0014476448122922646
LT,2021,0.0038513383860358783
LU,2010,0.0007096986954705176
LU,2011,0.0014193973909410352
LU,2012,0.002129096086411553
LU,2013,0.0028387947818820703
LU,2014,0.0035484934773525874
LU,2015,0.004258192172823106
LU,2016,0.004967890868293623
LU,2017,0.005677589563764141
LU,2018,0.006387288259234657
LU,2019,0.007096986954705175
LU,2020,0.007806685650175692
LU,2021,0.014716849373683411
LV,2012,3.0700149471737756e-05
LV,2013,0.0002824413751399873
LV,2014,0.0005341826008082369
LV,2015,5.219025410195417e-05
LV,2016,5.833028399630172e-05
LV,2017,0.0001258706128341248
LV,2018,0.00023946116587955445
LV,2019,0.00035612173387215785
LV,2020,0.0010775752464579952
LV,2021,0.0014736071746434122
NL,2013,0.008292489359559932
NL,2014,0.009220209627735211
NL,2015,0.01010993452656543
NL,2016,0.012627127745675834
NL,2017,0.02519726243733407
NL,2018,0.07594324447844403
NL,2019,0.19487508309004778
NL,2020,0.23068888497854811
NL,2021,0.20155910181400005
NO,2000,7.623545865050632e-05
NO,2001,0.00015247091730101264
NO,2002,0.00022870637595151896
NO,2003,0.0003049418346020253
NO,2004,0.00038117729325253165
NO,2005,0.0005057352276618234
NO,2006,0.0006302931620711153
NO,2007,0.0003001396009862454
NO,2008,0.0008253839027121747
NO,2009,0.0005402512817752417
NO,2010,0.0012185667800041562
NO,2011,0.006089832504010918
NO,2012,0.01278294560600419
NO,2013,0.029923918218328665
NO,2014,0.06348852979662048
NO,2015,0.0660217080289444
NO,2016,0.07269981415088836
NO,2017,0.09911510043368782
NO,2018,0.13833734349057036
NO,2019,0.18089713891041995
NO,2020,0.24675076876281204
NO,2021,0.3493594941519798
PL,1993,0.043875015132765885
PL,1994,0.042881067650990326
PL,1995,0.005989919960454716
PL,1996,0.00812653058552413
