node,year_construction,capacity_existing
AT,2004,42.26342915028718
AT,2005,42.26342915028718
AT,2006,42.26342915028718
AT,2007,42.26342915028718
AT,2008,42.26342915028718
AT,2009,42.26342915028718
AT,2010,42.26342915028718
AT,2011,42.26342915028718
AT,2012,42.26342915028718
AT,2013,42.26342915028718
AT,2014,42.26342915028718
AT,2015,42.26342915028718
AT,2016,42.26342915028718
AT,2017,42.26342915028718
AT,2018,42.26342915028718
AT,2019,42.26342915028718
AT,2020,42.26342915028718
AT,2021,42.26342915028718
BE,2004,49.04644864241396
BE,2005,49.04644864241396
BE,2006,49.04644864241396
BE,2007,49.04644864241396
BE,2008,49.04644864241396
BE,2009,49.04644864241396
BE,2010,49.04644864241396
BE,2011,49.04644864241396
BE,2012,49.04644864241396
BE,2013,49.04644864241396
BE,2014,49.04644864241396
BE,2015,49.04644864241396
BE,2016,49.04644864241396
BE,2017,49.04644864241396
BE,2018,49.04644864241396
BE,2019,49.04644864241396
BE,2020,49.04644864241396
BE,2021,49.04644864241396
BG,2004,4.088227133551208
BG,2005,4.088227133551208
BG,2006,4.088227133551208
BG,2007,4.088227133551208
BG,2008,4.088227133551208
BG,2009,4.088227133551208
BG,2010,4.088227133551208
BG,2011,4.088227133551208
BG,2012,4.088227133551208
BG,2013,4.088227133551208
BG,2014,4.088227133551208
BG,2015,4.088227133551208
BG,2016,4.088227133551208
BG,2017,4.088227133551208
BG,2018,4.088227133551208
BG,2019,4.088227133551208
BG,2020,4.088227133551208
BG,2021,4.088227133551208
CZ,2004,30.317948667581696
CZ,2005,30.317948667581696
CZ,2006,30.317948667581696
CZ,2007,30.317948667581696
CZ,2008,30.317948667581696
CZ,2009,30.317948667581696
CZ,2010,30.317948667581696
CZ,2011,30.317948667581696
CZ,2012,30.317948667581696
CZ,2013,30.317948667581696
CZ,2014,30.317948667581696
CZ,2015,30.317948667581696
CZ,2016,30.317948667581696
CZ,2017,30.317948667581696
CZ,2018,30.317948667581696
CZ,2019,30.317948667581696
CZ,2020,30.317948667581696
CZ,2021,30.317948667581696
DE,2004,261.10537946697127
DE,2005,261.10537946697127
DE,2006,261.10537946697127
DE,2007,261.10537946697127
DE,2008,261.10537946697127
DE,2009,261.10537946697127
DE,2010,261.10537946697127
DE,2011,261.10537946697127
DE,2012,261.10537946697127
DE,2013,261.10537946697127
DE,2014,261.10537946697127
DE,2015,261.10537946697127
DE,2016,261.10537946697127
DE,2017,261.10537946697127
DE,2018,261.10537946697127
DE,2019,261.10537946697127
DE,2020,261.10537946697127
DE,2021,261.10537946697127
EL,2004,9.005148956335775
EL,2005,9.005148956335775
EL,2006,9.005148956335775
EL,2007,9.005148956335775
EL,2008,9.005148956335775
EL,2009,9.005148956335775
EL,2010,9.005148956335775
EL,2011,9.005148956335775
EL,2012,9.005148956335775
EL,2013,9.005148956335775
EL,2014,9.005148956335775
EL,2015,9.005148956335775
EL,2016,9.005148956335775
EL,2017,9.005148956335775
EL,2018,9.005148956335775
EL,2019,9.005148956335775
EL,2020,9.005148956335775
EL,2021,9.005148956335775
ES,2004,87.90916033155155
ES,2005,87.90916033155155
ES,2006,87.90916033155155
ES,2007,87.90916033155155
ES,2008,87.90916033155155
