node,year_construction,capacity_existing
AT,2022.0,1.1415525114155251e-07
BE,2024.0,6.84931506849315e-06
CH,2017.0,4.5662100456621e-05
DE,2023.0,1.141552511415525e-05
DE,2024.0,1.449771689497717e-05
IE,2023.0,1.36986301369863e-07
IT,2018.0,1.7123287671232875e-05
NL,2022.0,3.995433789954338e-07
NL,2023.0,5.707762557077626e-07
NL,2025.0,2.968036529680365e-05
NO,2016.0,5.707762557077625e-06
NO,2017.0,5.707762557077625e-06
NO,2021.0,0.00045662100456621003
NO,2024.0,0.004143835616438356
NO,2025.0,0.00022831050228310502
UK,2023.0,2.3972602739726026e-05
UK,2024.0,0.00016723744292237443
