year,capex_specific_conversion
2022,39796669.18527377
2023,37073052.814055845
2024,34349436.44283794
2025,31625820.071620032
2026,29483636.330318417
2027,27341452.589016795
2028,25199268.847715177
2029,23057085.106413558
2030,20914901.365111943
2031,20248726.767940782
2032,19582552.170769624
2033,18916377.573598467
2034,18250202.97642731
2035,17584028.37925615
2036,16997767.786978867
2037,16411507.194701578
2038,15825246.602424294
2039,15238986.010147009
2040,14652725.417869724
2041,14424519.987666989
2042,14196314.557464253
2043,13968109.12726152
2044,13739903.697058784
2045,13511698.266856048
2046,13295787.298944678
2047,13079876.331033308
2048,12863965.363121938
2049,12648054.395210568
2050,12432143.427299198
