year,opex_specific_fixed
2022,1588568.0340582535
2023,1477974.0125331888
2024,1367379.9910081238
2025,1256785.9694830591
2026,1172625.041884429
2027,1088464.1142857992
2028,1004303.1866871692
2029,920142.2590885395
2030,835981.3314899094
2031,807807.9255496283
2032,779634.5196093472
2033,751461.1136690661
2034,723287.707728785
2035,695114.3017885039
2036,670629.2345356322
2037,646144.1672827607
2038,621659.100029889
2039,597174.0327770176
2040,572688.9655241459
2041,564262.4870312971
2042,555836.0085384483
2043,547409.5300455993
2044,538983.0515527506
2045,530556.5730599017
2046,522744.81768162106
2047,514933.0623033405
2048,507121.3069250599
2049,499309.55154677934
2050,491497.7961684987
