node,year_construction,capacity_existing
AT,2004,12.522497526011007
AT,2005,12.522497526011007
AT,2006,12.522497526011007
AT,2007,12.522497526011007
AT,2008,12.522497526011007
AT,2009,12.522497526011007
AT,2010,12.522497526011007
AT,2011,12.522497526011007
AT,2012,12.522497526011007
AT,2013,12.522497526011007
AT,2014,12.522497526011007
AT,2015,12.522497526011007
AT,2016,12.522497526011007
AT,2017,12.522497526011007
AT,2018,12.522497526011007
AT,2019,12.522497526011007
AT,2020,12.522497526011007
AT,2021,12.522497526011007
BE,2004,14.53228107923376
BE,2005,14.53228107923376
BE,2006,14.53228107923376
BE,2007,14.53228107923376
BE,2008,14.53228107923376
BE,2009,14.53228107923376
BE,2010,14.53228107923376
BE,2011,14.53228107923376
BE,2012,14.53228107923376
BE,2013,14.53228107923376
BE,2014,14.53228107923376
BE,2015,14.53228107923376
BE,2016,14.53228107923376
BE,2017,14.53228107923376
BE,2018,14.53228107923376
BE,2019,14.53228107923376
BE,2020,14.53228107923376
BE,2021,14.53228107923376
BG,2004,1.2113265580892463
BG,2005,1.2113265580892463
BG,2006,1.2113265580892463
BG,2007,1.2113265580892463
BG,2008,1.2113265580892463
BG,2009,1.2113265580892463
BG,2010,1.2113265580892463
BG,2011,1.2113265580892463
BG,2012,1.2113265580892463
BG,2013,1.2113265580892463
BG,2014,1.2113265580892463
BG,2015,1.2113265580892463
BG,2016,1.2113265580892463
BG,2017,1.2113265580892463
BG,2018,1.2113265580892463
BG,2019,1.2113265580892463
BG,2020,1.2113265580892463
BG,2021,1.2113265580892463
CZ,2004,8.983095901505692
CZ,2005,8.983095901505692
CZ,2006,8.983095901505692
CZ,2007,8.983095901505692
CZ,2008,8.983095901505692
CZ,2009,8.983095901505692
CZ,2010,8.983095901505692
CZ,2011,8.983095901505692
CZ,2012,8.983095901505692
CZ,2013,8.983095901505692
CZ,2014,8.983095901505692
CZ,2015,8.983095901505692
CZ,2016,8.983095901505692
CZ,2017,8.983095901505692
CZ,2018,8.983095901505692
CZ,2019,8.983095901505692
CZ,2020,8.983095901505692
CZ,2021,8.983095901505692
DE,2004,77.36455687910258
DE,2005,77.36455687910258
DE,2006,77.36455687910258
DE,2007,77.36455687910258
DE,2008,77.36455687910258
DE,2009,77.36455687910258
DE,2010,77.36455687910258
DE,2011,77.36455687910258
DE,2012,77.36455687910258
DE,2013,77.36455687910258
DE,2014,77.36455687910258
DE,2015,77.36455687910258
DE,2016,77.36455687910258
DE,2017,77.36455687910258
DE,2018,77.36455687910258
DE,2019,77.36455687910258
DE,2020,77.36455687910258
DE,2021,77.36455687910258
EL,2004,2.668192283358747
EL,2005,2.668192283358747
EL,2006,2.668192283358747
EL,2007,2.668192283358747
EL,2008,2.668192283358747
EL,2009,2.668192283358747
EL,2010,2.668192283358747
EL,2011,2.668192283358747
EL,2012,2.668192283358747
EL,2013,2.668192283358747
EL,2014,2.668192283358747
EL,2015,2.668192283358747
EL,2016,2.668192283358747
EL,2017,2.668192283358747
EL,2018,2.668192283358747
EL,2019,2.668192283358747
EL,2020,2.668192283358747
EL,2021,2.668192283358747
ES,2004,26.047158616755997
ES,2005,26.047158616755997
ES,2006,26.047158616755997
ES,2007,26.047158616755997
ES,2008,26.047158616755997
ES,2009,26.047158616755997
ES,2010,26.047158616755997
ES,2011,26.047158616755997
ES,2012,26.047158616755997
ES,2013,26.047158616755997
ES,2014,26.047158616755997
ES,2015,26.047158616755997
ES,2016,26.047158616755997
ES,2017,26.047158616755997
ES,2018,26.047158616755997
ES,2019,26.047158616755997
