time,AT,BE,CZ,DE,ES,FI,FR,HU,IT,NL,PL,RO,SE,UK,BG,CH,DK,EE,EL,HR,IE,LT,LU,LV,NO,PT,SI,SK
0,0.798611111111111,0.7986111111111112,0.798611111111111,0.798611111111111,0.798611111111111,0.6934523809523809,0.798611111111111,0.798611111111111,0.798611111111111,0.7986111111111112,0.798611111111111,0.6934523809523808,0.798611111111111,0.9494047619047619,0.6934523809523809,0.798611111111111,0.798611111111111,0.6934523809523809,0.6934523809523809,0.7986111111111109,0.9494047619047619,0.6934523809523809,0.798611111111111,0.6934523809523809,0.798611111111111,0.9494047619047619,0.7986111111111112,0.7986111111111109
1,0.6934523809523809,0.6934523809523809,0.6934523809523809,0.6934523809523809,0.6934523809523808,0.4861111111111111,0.6934523809523808,0.6934523809523809,0.6934523809523809,0.6934523809523808,0.6934523809523809,0.4861111111111111,0.6934523809523809,0.7986111111111112,0.4861111111111111,0.6934523809523809,0.6934523809523809,0.4861111111111111,0.48611111111111105,0.6934523809523808,0.798611111111111,0.48611111111111116,0.6934523809523809,0.48611111111111116,0.6934523809523809,0.798611111111111,0.6934523809523809,0.6934523809523809
2,0.48611111111111116,0.48611111111111116,0.48611111111111116,0.48611111111111116,0.4861111111111111,0.2986111111111111,0.48611111111111116,0.4861111111111111,0.4861111111111111,0.4861111111111111,0.4861111111111111,0.2986111111111111,0.4861111111111112,0.6934523809523809,0.2986111111111111,0.4861111111111111,0.48611111111111116,0.29861111111111105,0.2986111111111111,0.48611111111111105,0.6934523809523809,0.2986111111111111,0.48611111111111116,0.2986111111111111,0.48611111111111116,0.6934523809523809,0.48611111111111116,0.4861111111111111
3,0.2986111111111111,0.2986111111111111,0.29861111111111116,0.2986111111111111,0.2986111111111111,0.13839285714285715,0.2986111111111111,0.2986111111111111,0.2986111111111111,0.2986111111111111,0.2986111111111111,0.13839285714285715,0.29861111111111116,0.48611111111111116,0.13839285714285715,0.2986111111111111,0.2986111111111111,0.13839285714285712,0.13839285714285715,0.2986111111111111,0.4861111111111111,0.13839285714285715,0.2986111111111111,0.13839285714285715,0.2986111111111111,0.48611111111111116,0.2986111111111111,0.2986111111111111
4,0.13839285714285718,0.13839285714285715,0.13839285714285718,0.13839285714285715,0.13839285714285715,0.050595238095238096,0.13839285714285715,0.13839285714285715,0.13839285714285712,0.13839285714285715,0.13839285714285715,0.0505952380952381,0.13839285714285715,0.2986111111111111,0.050595238095238096,0.13839285714285715,0.13839285714285715,0.050595238095238096,0.050595238095238096,0.13839285714285715,0.2986111111111111,0.0505952380952381,0.13839285714285715,0.050595238095238096,0.13839285714285715,0.2986111111111111,0.13839285714285715,0.13839285714285715
5,0.050595238095238096,0.0505952380952381,0.0505952380952381,0.050595238095238096,0.050595238095238096,0.030257936507936508,0.050595238095238096,0.050595238095238096,0.050595238095238096,0.0505952380952381,0.050595238095238096,0.030257936507936508,0.0505952380952381,0.13839285714285715,0.030257936507936505,0.0505952380952381,0.050595238095238096,0.030257936507936508,0.030257936507936505,0.05059523809523809,0.13839285714285715,0.030257936507936508,0.0505952380952381,0.030257936507936508,0.050595238095238096,0.13839285714285715,0.0505952380952381,0.050595238095238096
6,0.03025793650793651,0.03025793650793651,0.03025793650793651,0.030257936507936508,0.030257936507936508,0.03273809523809523,0.030257936507936505,0.030257936507936508,0.030257936507936508,0.030257936507936508,0.030257936507936508,0.03273809523809524,0.030257936507936508,0.0505952380952381,0.03273809523809523,0.030257936507936508,0.030257936507936508,0.03273809523809523,0.03273809523809524,0.030257936507936505,0.0505952380952381,0.03273809523809524,0.03025793650793651,0.03273809523809524,0.03025793650793651,0.050595238095238096,0.03025793650793651,0.030257936507936505
7,0.03273809523809524,0.03273809523809524,0.03273809523809524,0.03273809523809524,0.03273809523809523,0.057043650793650785,0.03273809523809523,0.03273809523809524,0.03273809523809523,0.03273809523809524,0.03273809523809524,0.05704365079365079,0.03273809523809524,0.030257936507936508,0.057043650793650785,0.03273809523809524,0.03273809523809524,0.057043650793650785,0.057043650793650785,0.03273809523809523,0.030257936507936508,0.0570436507936508,0.03273809523809524,0.05704365079365079,0.03273809523809524,0.030257936507936508,0.03273809523809524,0.03273809523809524
8,0.05704365079365079,0.05704365079365079,0.0570436507936508,0.0570436507936508,0.05704365079365079,0.0669642857142857,0.05704365079365079,0.05704365079365079,0.057043650793650785,0.0570436507936508,0.057043650793650785,0.06696428571428571,0.05704365079365079,0.03273809523809524,0.06696428571428571,0.05704365079365079,0.05704365079365079,0.06696428571428571,0.06696428571428571,0.057043650793650785,0.03273809523809524,0.06696428571428571,0.05704365079365079,0.06696428571428571,0.0570436507936508,0.03273809523809524,0.0570436507936508,0.057043650793650785
9,0.06696428571428571,0.06696428571428571,0.06696428571428571,0.06696428571428571,0.06696428571428571,0.09573412698412698,0.06696428571428571,0.06696428571428571,0.06696428571428571,0.06696428571428571,0.06696428571428571,0.09573412698412698,0.06696428571428571,0.0570436507936508,0.09573412698412696,0.0669642857142857,0.06696428571428571,0.09573412698412698,0.09573412698412698,0.0669642857142857,0.05704365079365079,0.09573412698412699,0.06696428571428571,0.09573412698412698,0.06696428571428571,0.05704365079365079,0.06696428571428571,0.0669642857142857
