year,HDT_FCEV
2022,642.5616544168632
2023,610.6259644061587
2024,578.690274395454
2025,546.7545843847494
2026,514.8188943740448
2027,482.8832043633402
2028,450.94751435263566
2029,419.011824341931
2030,387.07613433122646
2031,378.0469031013357
2032,369.01767187144503
2033,359.9884406415543
2034,350.9592094116635
2035,341.92997818177275
2036,332.900746951882
2037,323.87151572199133
2038,314.8422844921006
2039,305.81305326220985
2040,296.7838220323191
2041,296.7838220323191
2042,296.7838220323191
2043,296.7838220323191
2044,296.7838220323191
2045,296.7838220323191
2046,296.7838220323191
2047,296.7838220323191
2048,296.7838220323191
2049,296.7838220323191
2050,296.7838220323191
