node,capex_specific_conversion
AT,6445.658827584839
BE,6481.019949442976
BG,6716.145571429983
CH,6577.4661438972935
CZ,6612.799832795364
DE,6511.872856633467
DK,6583.86056682796
EE,6252.437245314582
EL,6396.457897700206
ES,6432.399307522657
FI,6461.259355581763
FR,6495.384949762658
HR,6516.620466176507
HU,6688.775602662925
IE,6379.450346296085
IT,6512.240189938561
LT,6675.836493323017
LU,6377.990918437419
LV,6558.220015187581
NL,6358.827558368154
NO,6708.156273721034
PL,6520.8946357250215
PT,6392.46183951587
RO,6507.101496249338
SE,6586.823906244297
SI,6561.36755564825
SK,6598.870953063384
UK,6534.633027686776
