time,AT,BE,CZ,DE,ES,FI,FR,HU,IT,NL,PL,RO,SE,UK,BG,CH,DK,EE,EL,HR,IE,LT,LU,LV,NO,PT,SI,SK
0,0.14201431352644284,0.1435038377917692,0.16916963974809862,0.15024341370719502,0.13388831552517413,0.09128159378902886,0.14918033903618128,0.18232005087812536,0.14943423317645038,0.12020845977108288,0.1548250462986386,0.09891139325541985,0.162526700277218,0.2057085738993446,0.1358141381829467,0.15983537649640991,0.16501579109839642,0.055159206141230564,0.08028639804195929,0.1550268702057817,0.19002004561470343,0.12898683931268543,0.2090247749136,0.10837717326918508,0.18611687226297954,0.18359634690023965,0.16485963349401708,0.1689002142435012
1,0.08856842213044605,0.09538710838370772,0.11779919585132528,0.10052540196027047,0.08713986488020883,0.06492958855429835,0.09740098771948182,0.13096609370055182,0.10071918719106922,0.0745305705306025,0.1016386304712946,0.06960383096836924,0.11361755187294002,0.15454557708514233,0.10388700358374466,0.11215558867044356,0.11265640735994129,0.03523768122889715,0.057032390975004586,0.10075750768794012,0.13230644219775337,0.0990492957439014,0.16358927667655065,0.0807022040489028,0.1342588975500002,0.13121691564070137,0.10820109682267595,0.1150659809045959
2,0.06262186635723718,0.07196305272597377,0.08834427298895883,0.07512889350916616,0.06605295277767208,0.0581236910997519,0.07111104820755992,0.09929755974260367,0.0759815306647658,0.056312621676438086,0.07366235621932708,0.056199799980384615,0.0865664493191885,0.10441575516213537,0.08461378771172501,0.0861992423672336,0.08338860073252609,0.04280118985961904,0.05714472032748259,0.07218337864156724,0.07683302534321296,0.08421892755333174,0.12831792642774822,0.07093326920254127,0.10168638937316962,0.07958619298838053,0.0767216662709459,0.0843740104031253
3,0.05672228236234808,0.07168548303320373,0.07459829800887356,0.07044788894422364,0.07099449072370498,0.06612757743152686,0.06443930900171227,0.0806045863070763,0.07277005248780123,0.06766262278864021,0.06322603995191176,0.06965682994591266,0.07818546495663553,0.07807787880006106,0.09682778458823102,0.08026129074545357,0.07006361867324402,0.04287616746085481,0.060036983880552904,0.060414080336935266,0.05147146327744458,0.09310296921624212,0.09719866494544233,0.07862013808948706,0.08097466649440675,0.056409135156636245,0.058466467006344176,0.0678705413916762
4,0.06431406070371132,0.07193569687369014,0.08459613423745972,0.07432802052875878,0.06737888138177339,0.1633753600671782,0.07106271326354925,0.09318423231638658,0.07505261679170265,0.05980256943124741,0.0729841265438765,0.16681859486921108,0.08334013261685307,0.07129429415884027,0.1634239960594718,0.08312106677722005,0.08065561913588672,0.16005920350433708,0.16040732573394678,0.07176401371484159,0.04688501374905742,0.16146781864431958,0.11473878730098884,0.16199066599828718,0.09502881667099077,0.05669360129724804,0.07518820550101099,0.08134560244139102
5,0.16325944119051666,0.15746958047964144,0.1630319073555028,0.15975757387637846,0.15522030560284514,0.39687994706137236,0.16195996786743802,0.1640168436736782,0.1585847878216862,0.15299077931697544,0.1639492885951358,0.40468819435309844,0.1597985883407128,0.0766169182306926,0.43989272815277747,0.15823142639750623,0.16381054340294407,0.3615716894499899,0.3858823338532057,0.1651643420513646,0.05545885230203408,0.43304946340107653,0.15167538218218535,0.41321281661684583,0.16486482621271387,0.05954500407175304,0.1685611078688736,0.16574066844449906
6,0.39424493708608616,0.40009027956770293,0.42244500404013663,0.40534480698272185,0.39183828176039126,0.9051481230253635,0.40260882524818664,0.43528654943789763,0.4053821211138096,0.3793762285654348,0.40695540673896546,0.9362669909027733,0.41799357388249514,0.16054196258137748,0.9633547737235215,0.41638149238970384,0.4175779168112722,0.8377616722022104,0.8725785866154709,0.4062597076696361,0.1647648949568349,0.9424341904857143,0.4410603946853332,0.9188535200175909,0.4385748553137987,0.16042495328355202,0.41388218871299326,0.4201515081089679
7,0.900906459653562,0.8741289428974032,0.9375154968633254,0.8948960104488649,0.8495575611067636,0.9275903761864739,0.9043918132775065,0.9607004362151348,0.8879279785280619,0.8194356294040225,0.9221490156476975,0.9409320255755796,0.9121726904420182,0.40920206174394175,0.9832010932751439,0.9006237360594954,0.93562166187803,0.8788438053907791,0.9105778374298145,0.9284834890030811,0.3831040030377721,0.9725117054769683,0.9455489722830085,0.9473805760639398,0.9702026160327886,0.3852083744437991,0.9590741442328591,0.950637335442653
8,0.9240768440863871,0.9261549588033277,0.9602911540117283,0.9351056423965085,0.9133686846286013,0.5971876075222777,0.933653116698979,0.977811146656141,0.93404523993302,0.8951624473144572,0.9411485703142606,0.6299931622240625,0.9514843341227662,0.9047837022552077,0.5980880836443054,0.9479204167355895,0.9547397819266815,0.5653096869410816,0.5688660715085404,0.94139841270486,0.8949145290684813,0.5794260014795668,0.951747925991924,0.584193272777658,0.9828606206680933,0.8717766057731795,0.9544561596817613,0.9598888962978189
9,0.5960590182796682,0.54108921282067,0.5941837426619079,0.5628888324076858,0.5196270523892301,0.51191568547855,0.5837934698573198,0.6036758374231438,0.5517425430127436,0.49830969870853875,0.602745124046652,0.5256167151062042,0.5634075186306672,0.9408299819101719,0.455205888471662,0.5484961047869279,0.601534652481983,0.5355769228493272,0.5057650052520145,0.6142864335475867,0.9111078380823509,0.45061483681031717,0.5669630442372096,0.48057805800073733,0.6117689344590611,0.9097238665126689,0.646648434172657,0.6199056216839838
