year,opex_specific_fixed
2022,47.45003683665821
2023,47.45003683665821
2024,47.45003683665821
2025,47.45003683665821
2026,47.06094653459761
2027,46.67185623253702
2028,46.282765930476415
2029,45.89367562841582
2030,45.504585326355226
2031,45.115495024294624
2032,44.72640472223403
2033,44.33731442017343
2034,43.94822411811283
2035,43.55913381605223
2036,43.17004351399164
2037,42.78095321193104
2038,42.39186290987044
2039,42.002772607809845
2040,41.61368230574925
2041,41.224592003688656
2042,40.835501701628054
2043,40.44641139956746
2044,40.05732109750686
2045,39.66823079544626
2046,39.27914049338567
2047,38.89005019132507
2048,38.50095988926447
2049,38.11186958720387
2050,37.722779285143275
