year,capex_specific_conversion
2022,470.2687999929306
2023,473.6254737474273
2024,476.98214750192403
2025,480.3388212564208
2026,485.3663014758236
2027,490.39378169522644
2028,495.42126191462927
2029,500.4487421340321
2030,505.47622235343493
2031,505.1208843510671
2032,504.7655463486993
2033,504.4102083463315
2034,504.05487034396367
2035,503.69953234159584
2036,503.344194339228
2037,502.9888563368602
2038,502.6335183344923
2039,502.27818033212446
2040,501.92284232975663
2041,501.5675043273888
2042,501.212166325021
2043,500.85682832265314
2044,500.5014903202853
2045,500.1461523179175
2046,499.79081431554965
2047,499.4354763131818
2048,499.08013831081394
2049,498.7248003084461
2050,498.3694623060783
