year,opex_specific_fixed
2022,16.1966481463558
2023,16.143347446000625
2024,16.09004674564545
2025,16.036746045290275
2026,16.04359437767172
2027,16.050442710053165
2028,16.05729104243461
2029,16.064139374816055
2030,16.0709877071975
2031,16.0301238369252
2032,15.989259966652897
2033,15.948396096380595
2034,15.907532226108295
2035,15.866668355835992
2036,15.82580448556369
2037,15.78494061529139
2038,15.744076745019088
2039,15.703212874746788
2040,15.662349004474486
2041,15.621485134202185
2042,15.580621263929883
2043,15.539757393657583
2044,15.49889352338528
2045,15.45802965311298
2046,15.41716578284068
2047,15.376301912568378
2048,15.335438042296078
2049,15.294574172023776
2050,15.253710301751475
