year,opex_specific_variable
2022,1.0
2023,1.0162837004748295
2024,1.032567400949659
2025,1.0488511014244883
2026,1.065134801899318
2027,1.0814185023741474
2028,1.097702202848977
2029,1.1139859033238064
2030,1.130269603798636
2031,1.1342831919438403
2032,1.138296780089045
2033,1.1423103682342493
2034,1.1463239563794536
2035,1.150337544524658
2036,1.1543511326698626
2037,1.1583647208150671
2038,1.1623783089602715
2039,1.166391897105476
2040,1.1704054852506804
2041,1.1744190733958848
2042,1.1784326615410892
2043,1.1824462496862937
2044,1.186459837831498
2045,1.1904734259767025
2046,1.1944870141219068
2047,1.1985006022671114
2048,1.2025141904123158
2049,1.2065277785575204
2050,1.210541366702725
