node,year_construction,capacity_existing
AT,2001.0,0.00325
AT,2002.0,0.002
AT,2003.0,0.0065
AT,2004.0,0.0011
AT,2005.0,0.0683
AT,2006.0,0.0696
AT,2007.0,0.003131
AT,2008.0,0.01
AT,2010.0,0.002
AT,2013.0,0.0068499999999999
AT,2016.0,0.0052
BE,2004.0,0.0472
BE,2006.0,0.0073
BE,2007.0,0.0082999999999999
BE,2009.0,0.0447
BE,2010.0,0.0252
BE,2011.0,0.233
BE,2012.0,0.003
BE,2015.0,0.0134
BG,2009.0,0.01
CH,2006.0,0.022
CH,2008.0,0.004
CH,2010.0,0.0144
CZ,2002.0,0.00494
CZ,2005.0,0.056
CZ,2006.0,0.0027
CZ,2008.0,0.080634
CZ,2009.0,0.007272
CZ,2010.0,0.00272
CZ,2011.0,0.00121
CZ,2015.0,0.015
DE,1912.0,0.0147
DE,1953.0,0.0287
DE,1962.0,0.0027
DE,1970.0,0.0175
DE,1977.0,0.014
DE,1981.0,0.0466
DE,1982.0,0.054
DE,1984.0,0.0255
DE,1985.0,0.0147
DE,1988.0,0.009
DE,1989.0,0.0062
DE,1990.0,0.0615
DE,1991.0,0.058
DE,1992.0,0.012
DE,1993.0,0.01
DE,1994.0,0.0769
DE,1995.0,0.038
DE,1996.0,0.0101999999999999
DE,1997.0,0.0384
DE,1998.0,0.0257
DE,1999.0,0.0985
DE,2000.0,0.0368
DE,2001.0,0.0356
DE,2002.0,0.1045
DE,2003.0,0.185
DE,2004.0,0.3643
DE,2005.0,0.1352
DE,2006.0,0.143252
DE,2007.0,0.09101
DE,2008.0,0.03062
DE,2009.0,0.10723
DE,2010.0,0.152245
DE,2011.0,0.1172
DE,2012.0,0.1196
DE,2013.0,0.0329
DE,2014.0,0.0723
DE,2016.0,0.0214
DE,2017.0,0.0243999999999999
DK,1982.0,0.052
DK,1989.0,0.005
DK,1990.0,0.0143
DK,1992.0,0.0108
DK,1993.0,0.0015
DK,1996.0,0.0083
DK,1998.0,0.026
DK,1999.0,0.0136999999999999
DK,2002.0,0.045
DK,2003.0,0.127
DK,2007.0,0.0027
DK,2008.0,0.0054
DK,2009.0,0.088
DK,2012.0,0.0301
DK,2016.0,0.554
EE,2003.0,0.008
EE,2008.0,0.0105
EE,2009.0,0.025
EE,2011.0,0.024
EE,2012.0,0.0064
EE,2017.0,0.0214
EL,2001.0,0.0235
EL,2007.0,0.0285
ES,1998.0,0.00235
ES,2001.0,0.0162
ES,2002.0,0.055
ES,2004.0,0.032
ES,2005.0,0.008
ES,2006.0,0.0454
ES,2008.0,0.03937
ES,2009.0,0.0566
ES,2010.0,0.0324
ES,2012.0,0.0834
ES,2013.0,0.017
ES,2015.0,0.025
ES,2019.0,0.096
ES,2020.0,0.0995
FI,1958.0,0.014
FI,1962.0,0.075
FI,1964.0,0.0425
FI,1972.0,0.045
FI,1986.0,0.137
FI,1993.0,0.006
FI,1996.0,0.025
FI,1998.0,0.099
FI,1999.0,0.0492
FI,2000.0,0.001
FI,2001.0,0.021
FI,2002.0,0.24
FI,2003.0,0.0533
FI,2004.0,0.1429
FI,2008.0,0.074
FI,2009.0,0.146
FI,2010.0,0.209
FI,2012.0,0.072
FI,2013.0,0.204
FI,2017.0,0.192
FR,1961.0,0.0855
FR,1971.0,0.01862
FR,1990.0,0.015
FR,1993.0,0.025
FR,1999.0,0.013
FR,2001.0,0.0062799999999999
FR,2002.0,0.01937
FR,2003.0,0.02426
FR,2004.0,0.02185
FR,2005.0,0.00394
FR,2007.0,0.0757
FR,2008.0,0.0231
FR,2009.0,0.0372
FR,2010.0,0.0385
FR,2011.0,0.00243
FR,2012.0,0.0278999999999999
FR,2013.0,0.0855
FR,2014.0,0.06906
FR,2015.0,0.06866
FR,2016.0,0.20385
FR,2017.0,0.00234
FR,2018.0,0.0296
FR,2019.0,0.0196499999999999
HR,2004.0,0.002
HR,2012.0,0.002
HR,2016.0,0.002
HR,2018.0,0.005
HR,2019.0,0.008
HU,2003.0,0.04
HU,2004.0,0.0799
HU,2005.0,0.002
HU,2008.0,0.0134
HU,2009.0,0.0689
HU,2010.0,0.005
HU,2011.0,0.0042
HU,2012.0,0.0012
HU,2013.0,0.035
HU,2015.0,0.0009
IE,1996.0,0.0098
IE,1997.0,0.005
IE,2001.0,0.00426
IE,2004.0,0.0018
IE,2005.0,0.00375
IE,2008.0,0.003
IT,1974.0,0.0988
IT,1987.0,0.348
IT,1999.0,0.018
IT,2001.0,0.027
IT,2002.0,0.0938
IT,2003.0,0.0765
IT,2005.0,0.059
IT,2008.0,0.0747999999999999
IT,2009.0,0.047
IT,2010.0,0.0135
IT,2012.0,0.0226999999999999
IT,2015.0,0.005
IT,2016.0,0.0152
IT,2017.0,0.0285
LT,2012.0,0.0054
LT,2015.0,0.016
LV,2012.0,0.0084
LV,2013.0,0.023
NL,1999.0,0.025
NL,2000.0,0.0015
NL,2005.0,0.060806
NL,2006.0,0.0007
NL,2007.0,0.0042
NL,2008.0,0.0598
NL,2011.0,0.002
NL,2012.0,0.01
NL,2013.0,0.4
NL,2014.0,0.0999
NL,2019.0,0.04
NO,2003.0,0.00014
NO,2004.0,0.00051
NO,2005.0,0.001471
PL,1908.0,0.045
PL,1968.0,0.027
PL,1999.0,0.0002
PL,2000.0,0.0001
PL,2003.0,0.13136
PL,2005.0,0.0028
PL,2006.0,0.0198099999999999
PL,2008.0,0.003876
PL,2009.0,0.00422
PL,2010.0,0.016625
PL,2011.0,0.0052
PL,2012.0,0.0724
PL,2013.0,0.301
PL,2014.0,0.025
PT,2003.0,0.0021
PT,2006.0,0.0128
PT,2009.0,0.0532
PT,2010.0,0.0125
PT,2019.0,0.0345
RO,2014.0,0.015
SE,1964.0,0.151
SE,1982.0,0.129
SE,1994.0,0.0615
SE,1997.0,0.077
SE,1999.0,0.023
SE,2002.0,0.0268
SE,2003.0,0.035
SE,2005.0,0.1335
SE,2006.0,0.0035
SE,2007.0,0.0069
SE,2009.0,0.12
SE,2010.0,0.02
SE,2012.0,0.092
SE,2013.0,0.0024
SE,2014.0,0.0916
SE,2015.0,0.1323
SI,2008.0,0.008
SK,2010.0,0.003
UK,1900.0,0.0014
UK,1992.0,0.02927
UK,1993.0,0.0191299999999999
UK,1994.0,0.00014
UK,1995.0,0.00462
UK,1996.0,0.0595
UK,1997.0,0.02407
UK,1998.0,0.119
UK,1999.0,0.11333
UK,2000.0,0.1118499999999999
UK,2001.0,0.13328
UK,2002.0,0.1317299999999999
UK,2003.0,0.07474
UK,2004.0,0.11576
UK,2005.0,0.08286
UK,2006.0,0.0582
UK,2007.0,0.2067
UK,2008.0,0.04728
UK,2009.0,0.05795
UK,2010.0,0.03567
UK,2011.0,0.02784
UK,2012.0,0.12631
UK,2013.0,0.7242
UK,2014.0,0.8184
UK,2015.0,0.2248
UK,2016.0,0.81477
UK,2017.0,0.1467
UK,2018.0,1.1796
UK,2019.0,0.122
