year,capex_specific_conversion
2022,141.02594040225935
2023,141.02594040225935
2024,141.02594040225935
2025,141.02594040225935
2026,138.82593573198412
2027,136.62593106170885
2028,134.42592639143362
2029,132.22592172115836
2030,130.02591705088312
2031,127.82591238060787
2032,125.62590771033263
2033,123.42590304005738
2034,121.22589836978213
2035,119.02589369950688
2036,116.82588902923165
2037,114.6258843589564
2038,112.42587968868116
2039,110.22587501840592
2040,108.02587034813068
2041,105.82586567785543
2042,103.62586100758018
2043,101.42585633730495
2044,99.2258516670297
2045,97.02584699675445
2046,94.8258423264792
2047,92.62583765620396
2048,90.42583298592872
2049,88.22582831565347
2050,86.02582364537822
