year,opex_specific_variable
2022,1.0
2023,1.0
2024,1.0
2025,1.0
2026,0.9843999999999999
2027,0.9688000000000001
2028,0.9532000000000002
2029,0.9376000000000001
2030,0.922
2031,0.9064000000000001
2032,0.8908000000000001
2033,0.8752
2034,0.8595999999999999
2035,0.8439999999999999
2036,0.8283999999999999
2037,0.8128
2038,0.7972
2039,0.7816000000000001
2040,0.766
2041,0.7504
2042,0.7348
2043,0.7191999999999998
2044,0.7035999999999999
2045,0.6879999999999998
2046,0.6723999999999998
2047,0.6567999999999998
2048,0.6412
2049,0.6255999999999999
2050,0.6099999999999999
