year,capex_specific_conversion
2022,355.8297325878859
2023,355.47439458551816
2024,355.1190565831503
2025,354.7637185807825
2026,352.7375741135085
2027,350.7114296462346
2028,348.6852851789606
2029,346.6591407116867
2030,344.6329962444127
2031,344.5441617438208
2032,344.4553272432288
2033,344.36649274263686
2034,344.2776582420449
2035,344.18882374145295
2036,344.09998924086096
2037,344.01115474026903
2038,343.92232023967705
2039,343.8334857390851
2040,343.74465123849313
2041,343.65581673790115
2042,343.5669822373092
2043,343.47814773671723
2044,343.3893132361253
2045,343.3004787355333
2046,343.2116442349414
2047,343.1228097343494
2048,343.0339752337575
2049,342.9451407331655
2050,342.85630623257356
