year,opex_specific_fixed
2022,1.2354528054716425
2023,1.2336761154598033
2024,1.231899425447964
2025,1.2301227354361248
2026,1.2283460454242856
2027,1.2265693554124464
2028,1.2247926654006074
2029,1.2230159753887682
2030,1.221239285376929
2031,1.2194625953650897
2032,1.2176859053532505
2033,1.2159092153414115
2034,1.2141325253295723
2035,1.212355835317733
2036,1.2105791453058938
2037,1.2088024552940548
2038,1.2070257652822156
2039,1.2052490752703766
2040,1.2034723852585374
2041,1.2016956952466982
2042,1.199919005234859
2043,1.19814231522302
2044,1.1963656252111807
2045,1.1945889351993415
2046,1.1928122451875023
2047,1.191035555175663
2048,1.1892588651638238
2049,1.1874821751519846
2050,1.1857054851401454
