year,opex_specific_variable
2022,1.0
2023,1.00537517645907
2024,1.01075035291814
2025,1.01612552937721
2026,1.02150070583628
2027,1.02687588229535
2028,1.03225105875442
2029,1.0376262352134902
2030,1.04300141167256
2031,1.04300141167256
2032,1.04300141167256
2033,1.04300141167256
2034,1.04300141167256
2035,1.04300141167256
2036,1.04300141167256
2037,1.04300141167256
2038,1.04300141167256
2039,1.04300141167256
2040,1.04300141167256
2041,1.04300141167256
2042,1.04300141167256
2043,1.04300141167256
2044,1.04300141167256
2045,1.04300141167256
2046,1.04300141167256
2047,1.04300141167256
2048,1.04300141167256
2049,1.04300141167256
2050,1.04300141167256
