year,capex_specific_conversion
2022,1716.7536426910215
2023,1618.4331084100086
2024,1520.1125741289952
2025,1421.7920398479823
2026,1336.0025540537652
2027,1250.2130682595478
2028,1164.4235824653308
2029,1078.6340966711134
2030,992.8446108768962
2031,967.7825139033047
2032,942.7204169297131
2033,917.6583199561215
2034,892.5962229825299
2035,867.5341260089384
2036,847.4844484300652
2037,827.434770851192
2038,807.3850932723186
2039,787.3354156934454
2040,767.2857381145722
2041,747.2360605356989
2042,727.1863829568257
2043,707.1367053779526
2044,687.0870277990794
2045,667.0373502202061
2046,648.915526254686
2047,630.7937022891659
2048,612.671878323646
2049,594.5500543581259
2050,576.4282303926058
