year,opex_specific_fixed
2022,41.23293308239817
2023,38.73443479949242
2024,36.23593651658668
2025,33.73743823368094
2026,32.118041198464255
2027,30.49864416324757
2028,28.879247128030883
2029,27.2598500928142
2030,25.640453057597515
2031,24.90015727006989
2032,24.15986148254226
2033,23.419565695014633
2034,22.679269907487004
2035,21.938974119959376
2036,21.545691982835326
2037,21.152409845711272
2038,20.759127708587222
2039,20.36584557146317
2040,19.972563434339115
2041,19.58313700444177
2042,19.193710574544426
2043,18.804284144647077
2044,18.414857714749733
2045,18.025431284852385
2046,17.767098900663058
2047,17.508766516473727
2048,17.2504341322844
2049,16.99210174809507
2050,16.733769363905743
