year,capex_specific_conversion
2022,1226.8275184705112
2023,1216.4632275009544
2024,1206.0989365313978
2025,1195.734645561841
2026,1185.3703545922842
2027,1175.0060636227277
2028,1164.6417726531708
2029,1154.2774816836143
2030,1143.9131907140575
2031,1133.5488997445007
2032,1123.184608774944
2033,1112.8203178053873
2034,1102.4560268358307
2035,1092.091735866274
2036,1072.2339225631208
2037,1052.3761092599675
2038,1032.5182959568144
2039,1012.6604826536612
2040,992.802669350508
2041,987.7685851652948
2042,982.7345009800815
2043,977.7004167948681
2044,972.6663326096549
2045,967.6322484244416
2046,962.5981642392284
2047,957.5640800540151
2048,952.529995868802
2049,947.4959116835887
2050,942.4618274983754
