year,opex_specific_fixed
2022,28.480567000789446
2023,28.480567000789446
2024,28.480567000789446
2025,28.480567000789446
2026,28.480567000789446
2027,28.480567000789446
2028,28.480567000789446
2029,28.480567000789446
2030,28.480567000789446
2031,28.480567000789446
2032,28.480567000789446
2033,28.480567000789446
2034,28.480567000789446
2035,28.480567000789446
2036,27.911156157549446
2037,27.341745314309446
2038,26.772334471069446
2039,26.202923627829446
2040,25.633512784589445
2041,25.633512784589445
2042,25.633512784589445
2043,25.633512784589445
2044,25.633512784589445
2045,25.633512784589445
2046,25.633512784589445
2047,25.633512784589445
2048,25.633512784589445
2049,25.633512784589445
2050,25.633512784589445
