year,opex_specific_variable
2022,1.0
2023,0.9783464566929135
2024,0.9566929133858266
2025,0.9350393700787402
2026,0.9133858267716535
2027,0.891732283464567
2028,0.8700787401574803
2029,0.8484251968503937
2030,0.8267716535433072
2031,0.8070866141732284
2032,0.7874015748031497
2033,0.7677165354330708
2034,0.7480314960629922
2035,0.7283464566929134
2036,0.7086614173228346
2037,0.6889763779527559
2038,0.6692913385826773
2039,0.6496062992125986
2040,0.6299212598425199
2041,0.6082677165354333
2042,0.5866141732283466
2043,0.5649606299212601
2044,0.5433070866141734
2045,0.5216535433070868
2046,0.5000000000000001
2047,0.4783464566929135
2048,0.45669291338582685
2049,0.43503937007874033
2050,0.4133858267716537
