year,capex_specific_conversion
2022,2760.5071782839923
2023,2732.755322549943
2024,2705.0034668158933
2025,2677.2516110818437
2026,2649.4997553477942
2027,2621.7478996137447
2028,2593.996043879695
2029,2566.2441881456457
2030,2538.492332411596
2031,2525.936478885736
2032,2513.380625359876
2033,2500.8247718340162
2034,2488.268918308156
2035,2475.713064782296
2036,2455.7438398967897
2037,2435.7746150112835
2038,2415.805390125777
2039,2395.836165240271
2040,2375.8669403547647
2041,2344.5824124349606
2042,2313.2978845151565
2043,2282.013356595353
2044,2250.728828675549
2045,2219.4443007557447
2046,2159.5754779156464
2047,2099.7066550755476
2048,2039.8378322354492
2049,1979.969009395351
2050,1920.1001865552523
