year,opex_specific_variable
2022,1.0
2023,1.0
2024,1.0
2025,1.0
2026,1.0
2027,1.0
2028,1.0
2029,1.0
2030,1.0
2031,1.0
2032,1.0
2033,1.0
2034,1.0
2035,1.0
2036,0.994800017865464
2037,0.9896000357309279
2038,0.9844000535963917
2039,0.9792000714618557
2040,0.9740000893273197
2041,0.9589383626220166
2042,0.9438766359167137
2043,0.9288149092114105
2044,0.9137531825061076
2045,0.8986914558008046
2046,0.863636091469912
2047,0.8285807271390193
2048,0.7935253628081267
2049,0.758469998477234
2050,0.7234146341463414
