year,opex_specific_fixed
2022,39.86994674688902
2023,38.37748884727286
2024,36.88503094765669
2025,35.392573048040525
2026,33.90011514842436
2027,32.40765724880819
2028,30.915199349192026
2029,29.42274144957586
2030,27.930283549959693
2031,27.81834920748848
2032,27.70641486501727
2033,27.594480522546053
2034,27.48254618007484
2035,27.37061183760363
2036,27.258677495132417
2037,27.146743152661205
2038,27.03480881018999
2039,26.922874467718778
2040,26.810940125247566
2041,26.699005782776354
2042,26.58707144030514
2043,26.475137097833926
2044,26.363202755362714
2045,26.251268412891502
2046,26.13933407042029
2047,26.027399727949078
2048,25.915465385477862
2049,25.80353104300665
2050,25.691596700535438
