year,opex_specific_variable
2022,1.0
2023,0.96
2024,0.92
2025,0.88
2026,0.8400000000000001
2027,0.8
2028,0.76
2029,0.7199999999999999
2030,0.6799999999999999
2031,0.6779999999999998
2032,0.6759999999999998
2033,0.6739999999999999
2034,0.6719999999999998
2035,0.6699999999999998
2036,0.6679999999999998
2037,0.6659999999999998
2038,0.6639999999999998
2039,0.6619999999999999
2040,0.6599999999999999
2041,0.658
2042,0.6559999999999999
2043,0.6539999999999999
2044,0.6519999999999999
2045,0.6499999999999999
2046,0.648
2047,0.646
2048,0.644
2049,0.642
2050,0.64
