year,capex_specific_conversion
2022,1683.5814252212049
2023,1651.8775943588566
2024,1620.1737634965082
2025,1588.4699326341597
2026,1556.7661017718112
2027,1525.0622709094628
2028,1493.3584400471143
2029,1461.6546091847658
2030,1429.9507783224174
2031,1400.1161017380873
2032,1370.2814251537573
2033,1340.4467485694272
2034,1310.6120719850971
2035,1280.777395400767
2036,1250.942718816437
2037,1221.1080422321068
2038,1191.2733656477767
2039,1161.4386890634464
2040,1131.6040124791164
2041,1101.3655069374365
2042,1071.127001395757
2043,1040.888495854077
2044,1010.6499903123972
2045,980.4114847707175
2046,950.1729792290378
2047,919.934473687358
2048,889.6959681456783
2049,859.4574626039985
2050,829.2189570623187
