year,opex_specific_fixed
2022,52.67653558350703
2023,51.68464315434788
2024,50.69275072518872
2025,49.700858296029566
2026,48.70896586687041
2027,47.71707343771126
2028,46.7251810085521
2029,45.73328857939295
2030,44.74139615023379
2031,43.805578349415185
2032,42.86976054859658
2033,41.93394274777798
2034,40.99812494695937
2035,40.06230714614077
2036,39.12648934532216
2037,38.19067154450355
2038,37.25485374368495
2039,36.319035942866336
2040,35.38321814204773
2041,34.43528547250864
2042,33.48735280296954
2043,32.53942013343045
2044,31.59148746389135
2045,30.643554794352255
2046,29.69562212481316
2047,28.747689455274063
2048,27.799756785734967
2049,26.85182411619587
2050,25.903891446656775
