node,year_construction,capacity_existing
AT,2008,0.0005962099663520681
AT,2011,0.020085941312465022
AT,2013,0.01009512741673449
AT,2014,0.038828622440029215
AT,2015,0.021022440040503076
AT,2019,0.04020239813422266
BG,2001,0.16873485681947553
BG,2005,0.006558168111838736
BG,2006,0.01398612735043403
BG,2007,0.18015257742556168
BG,2011,0.09044294020919175
BG,2014,0.05159266976499666
CH,2008,0.0008078129033591008
CH,2011,0.027214712071317204
CH,2013,0.013678023932052003
CH,2014,0.0526094228491798
CH,2015,0.028483586795296056
CH,2019,0.0544707700166559
CZ,1995,0.432273579363023
CZ,1996,0.3485381944124061
CZ,1997,0.3458114009864284
CZ,1998,0.04366092601687035
CZ,1999,0.9443503505942317
CZ,2001,0.17055528598504943
CZ,2005,0.3881726581607128
CZ,2007,0.27978211797255864
CZ,2008,0.08155692722839043
CZ,2010,0.001998180096190514
CZ,2012,0.03511658973721035
DE,2003,1.5405076120162482
DE,2004,0.8535080149117089
DE,2007,1.1329944365871896
DE,2009,0.31103568706162754
DE,2010,0.5703381203120852
DE,2013,0.055120325537425074
DE,2015,0.4136135731160975
DK,1994,0.006846790533914989
DK,1995,0.006846790533914989
DK,1996,0.006846790533914989
DK,1997,0.006846790533914989
DK,1998,0.006846790533914989
DK,1999,0.006846790533914989
DK,2000,0.006846790533914989
DK,2001,0.13254434347023292
DK,2002,0.006846790533914989
DK,2003,0.006846790533914989
DK,2004,0.006846790533914989
DK,2005,0.006846790533914989
DK,2006,0.05054850932123367
DK,2007,0.006846790533914989
DK,2008,0.006846790533914989
DK,2009,0.08380745604306929
DK,2010,0.006846790533914989
DK,2011,0.006846790533914989
DK,2012,0.11179203482071323
DK,2013,0.04352363435647362
DK,2014,0.006846790533914989
DK,2015,0.014634884711635087
DK,2016,0.006846790533914989
DK,2017,0.006846790533914989
DK,2018,0.006846790533914989
DK,2019,0.006846790533914989
DK,2020,0.006846790533914989
DK,2021,0.25246139772258175
EE,2010,0.003643004336958952
EE,2012,0.005663684478072889
EE,2017,0.015873762318354634
EE,2018,0.013757624332113895
EL,2006,0.013020541405993818
EL,2008,0.020329913212013162
EL,2009,0.06754120164523347
EL,2010,0.007078967602538955
EL,2013,0.09775676978714593
EL,2014,0.0029989874250276327
EL,2018,0.048339163075050484
FI,1994,0.012424624070365965
FI,1995,0.012424624070365965
FI,1996,0.012424624070365965
FI,1997,0.012424624070365965
FI,1998,0.012424624070365965
FI,1999,0.012424624070365965
FI,2000,0.012424624070365965
FI,2001,0.2368837455584455
FI,2002,0.012424624070365965
FI,2003,0.14019846007168343
FI,2004,0.012424624070365965
FI,2005,0.012424624070365965
FI,2006,0.31056638800215297
FI,2007,0.2815550047180084
FI,2008,0.012424624070365965
FI,2009,0.23327456456222576
FI,2010,0.012424624070365965
FI,2011,0.012424624070365965
FI,2012,0.012424624070365965
FI,2013,0.012424624070365965
FI,2014,0.09993298607472936
FI,2015,0.012424624070365965
FI,2016,0.15320847101739307
FI,2017,0.012424624070365965
FI,2018,0.012424624070365965
FI,2019,0.012424624070365965
FI,2020,0.012424624070365965
FI,2021,0.1897807202988512
FR,2008,0.052909969620761055
FR,2010,0.07021750730116727
FR,2012,0.0036012404546270083
FR,2013,0.0633619723509466
FR,2014,0.04285904122193085
HU,2007,0.009325920548868272
HU,2011,0.00030194913217881925
HU,2016,0.07537178140793728
HU,2018,0.001463450927235016
HU,2020,0.0043439615924866365
IT,2014,0.006271732362062472
IT,2015,0.0054565587684491865
IT,2016,0.0007704402638998992
IT,2018,0.011898359522358258
LT,2017,0.012838790252908464
LT,2018,0.00027017381339686924
LV,2018,0.0026294442499156367
NL,2014,0.004004759216228247
NL,2015,0.014569796184780055
NL,2016,0.0031142263666654596
NL,2017,0.004923670757475476
NL,2019,0.010890107340541855
NO,1995,0.00288149725465758
NO,1996,0.000842488429049118
NO,1997,0.0008314872017193345
NO,1999,0.0006751147199360874
NO,2000,0.0004500151675776512
NO,2001,0.002218526124354109
NO,2007,0.0041399054525781236
NO,2011,0.005887326360462207
NO,2014,0.0026427892973452
NO,2017,0.0018475796484513501
NO,2018,0.00023060988133404361
NO,2019,0.0018825074414694568
NO,2020,0.0003538241061792763
PL,1994,1.0941586451916838
PL,1995,0.28695398277406853
PL,1996,1.7844518458830103
PL,1997,0.28695398277406853
PL,1998,1.5603580201819436
PL,1999,0.28695398277406853
PL,2000,0.28695398277406853
PL,2001,1.250065504995833
PL,2002,0.28695398277406853
PL,2003,0.28695398277406853
PL,2004,0.6130419240786015
PL,2005,0.28695398277406853
PL,2006,0.28695398277406853
PL,2007,0.28695398277406853
PL,2008,0.28695398277406853
PL,2009,0.28695398277406853
PL,2010,0.28695398277406853
PL,2011,0.28695398277406853
PL,2012,0.28695398277406853
PL,2013,1.0541559849137163
PL,2014,0.28695398277406853
PL,2015,0.28695398277406853
PL,2016,0.28695398277406853
PL,2017,0.28695398277406853
PL,2018,0.28695398277406853
PL,2019,0.7620577916228943
PL,2020,0.28695398277406853
RO,2005,0.08457324636858565
RO,2009,0.025767419831783767
RO,2011,0.03522419685221001
RO,2013,0.07843669307539958
SE,2017,0.0036750770902018726
SE,2018,0.08438892967138822
SI,1994,0.0016201180253808613
SI,1995,0.029288836066857636
SI,1996,0.0016201180253808613
SI,1997,0.004536717788714923
SI,1998,0.013950844155802614
SI,1999,0.0016201180253808613
SI,2000,0.0016201180253808613
SI,2001,0.0016201180253808613
SI,2002,0.0016201180253808613
SI,2003,0.0016201180253808613
SI,2004,0.038771989358411085
SI,2005,0.0016201180253808613
SI,2006,0.019527538995627876
SI,2007,0.0016201180253808613
SI,2008,0.0016201180253808613
SI,2009,0.012390111093553655
SI,2010,0.03227609751714991
SI,2011,0.0016201180253808613
SI,2012,0.0016201180253808613
SI,2013,0.022565641215826528
SI,2014,0.0016201180253808613
SI,2015,0.03102595229834314
SI,2016,0.0016201180253808613
SI,2017,0.014102179345825345
SI,2018,0.02923808480503306
SI,2019,0.0016201180253808613
SI,2020,0.0016201180253808613
SK,2003,0.04166700797352707
SK,2004,0.03811366353366019
SK,2006,0.02224111182380717
SK,2007,0.02651210084908162
SK,2010,0.029422101359629083
SK,2011,0.07826248659400525
SK,2016,0.09865829477716165
SK,2017,0.012046281100331124
SK,2018,0.05895638300426531
UK,2011,0.0034047125043740467
UK,2017,0.000222875906965445
