year,opex_specific_fixed
2022,2.056049122938816
2023,2.056049122938816
2024,2.056049122938816
2025,2.056049122938816
2026,2.1487788817411047
2027,2.2415086405433935
2028,2.334238399345682
2029,2.4269681581479707
2030,2.5196979169502596
2031,2.5196979169502596
2032,2.5196979169502596
2033,2.5196979169502596
2034,2.5196979169502596
2035,2.5196979169502596
2036,2.5196979169502596
2037,2.5196979169502596
2038,2.5196979169502596
2039,2.5196979169502596
2040,2.5196979169502596
2041,2.5196979169502596
2042,2.5196979169502596
2043,2.5196979169502596
2044,2.5196979169502596
2045,2.5196979169502596
2046,2.5196979169502596
2047,2.5196979169502596
2048,2.5196979169502596
2049,2.5196979169502596
2050,2.5196979169502596
