node,year_construction,capacity_existing
AT,1924.0,0.015
BE,1975.0,0.556
BG,1960.0,0.3925
BG,1964.0,0.4
BG,1966.0,0.125
BG,1970.0,0.12
BG,2009.0,0.1653
CZ,1951.0,0.099
CZ,1952.0,0.0756
CZ,1957.0,0.254
CZ,1963.0,0.122
CZ,1964.0,0.22015
CZ,1970.0,0.05225
CZ,1974.0,0.1335
CZ,1975.0,0.6
CZ,1983.0,0.109
CZ,1999.0,0.07
CZ,2000.0,0.5225
DE,1923.0,0.018
DE,1939.0,0.2355
DE,1957.0,0.026
DE,1958.0,0.816
DE,1959.0,0.918
DE,1961.0,0.2897
DE,1963.0,1.2237
DE,1964.0,1.824
DE,1965.0,1.132
DE,1966.0,2.147
DE,1968.0,1.043
DE,1969.0,0.54
DE,1971.0,0.442
DE,1973.0,0.0226
DE,1974.0,0.4144
DE,1976.0,1.281
DE,1978.0,0.0338
DE,1980.0,0.0457
DE,1981.0,0.78
DE,1982.0,0.432
DE,1983.0,0.9124
DE,1984.0,1.8563
DE,1985.0,2.054
DE,1986.0,0.0185
DE,1987.0,1.439
DE,1988.0,0.064
DE,1989.0,0.5817
DE,1990.0,0.057
DE,1991.0,0.67975
DE,1992.0,0.0207
DE,1993.0,0.332
DE,1994.0,0.5514
DE,1996.0,0.0134
DE,2000.0,0.14
DE,2013.0,0.75
DE,2015.0,2.326
DK,1974.0,1.026
DK,1977.0,0.436
DK,1979.0,0.666
DK,1984.0,0.76
DK,1991.0,0.0196
DK,1992.0,0.407
ES,1949.0,0.3233
ES,1964.0,0.48585
ES,1974.0,0.9162
ES,1976.0,1.4685
ES,1981.0,0.335
ES,1986.0,0.04275
ES,1995.0,0.05
ES,1996.0,0.335
ES,2004.0,0.03515
FI,1958.0,0.0285
FI,1971.0,0.0475
FI,1972.0,0.467
FI,1974.0,0.228
FI,1984.0,0.21424
FI,1994.0,0.614
FR,1941.0,0.034
FR,1952.0,1.423
FR,1962.0,0.016
FR,1983.0,1.26
FR,1984.0,0.855
HR,2000.0,0.21
HU,1957.0,0.057
IE,1964.0,0.1425
IE,1985.0,0.81225
IT,1964.0,0.64
IT,1965.0,0.336
IT,1969.0,0.64
IT,1983.0,0.64
IT,1986.0,0.59
IT,1989.0,0.15
IT,1991.0,1.98
IT,2005.0,0.24
IT,2009.0,1.98
NL,1980.0,0.792
NL,2015.0,2.331
NL,2016.0,1.1
NO,1983.0,0.011
PL,1907.0,0.0168
PL,1908.0,0.035625
PL,1910.0,0.00665
PL,1914.0,0.0091
PL,1917.0,0.0058
PL,1927.0,0.00456
PL,1928.0,0.049
PL,1929.0,0.2174
PL,1939.0,0.341
PL,1942.0,0.0304
PL,1952.0,0.2755
PL,1954.0,0.60021
PL,1955.0,0.2476999999999999
PL,1956.0,0.0057
PL,1957.0,0.39555
PL,1958.0,0.0341
PL,1960.0,1.205
PL,1961.0,0.725
PL,1962.0,0.17204
PL,1963.0,0.723465
PL,1965.0,0.089775
PL,1966.0,0.07725
PL,1968.0,0.65815
PL,1969.0,0.557
PL,1970.0,0.83815
PL,1971.0,0.02945
PL,1972.0,4.918399999999999
PL,1973.0,0.0104
PL,1974.0,1.01535
PL,1975.0,0.11095
PL,1976.0,0.32915
PL,1977.0,2.23925
PL,1978.0,0.1335
PL,1979.0,1.657
PL,1980.0,0.09994
PL,1982.0,0.01768
PL,1985.0,0.6065
PL,1990.0,0.0285
PL,1991.0,0.0361
PL,1992.0,0.0022
PL,1993.0,3.332
PL,1996.0,0.018
PL,1997.0,0.0854
PL,1998.0,0.22204
PL,1999.0,0.135
PL,2001.0,0.0019
PL,2002.0,0.287925
PL,2003.0,0.2563999999999999
PL,2004.0,0.069
PL,2007.0,0.028375
PL,2008.0,0.01026
PL,2010.0,0.0608
PL,2011.0,0.0342
PL,2017.0,2.0425
RO,1964.0,0.15
RO,1969.0,1.075
RO,1986.0,0.06
RO,1990.0,0.065
RO,1997.0,0.014
RO,2008.0,0.0055
SE,1963.0,0.076
SE,1964.0,0.02945
SI,1966.0,0.124
SK,1957.0,0.012
SK,1965.0,0.22
SK,1967.0,0.36695
SK,1986.0,0.0475
SK,2001.0,0.028
SK,2002.0,0.0063
SK,2009.0,0.0006
SK,2020.0,0.1976
UK,1951.0,0.15
UK,1967.0,4.20993
UK,1969.0,0.143
UK,1974.0,1.507
UK,1981.0,0.652
