node,year_construction,capacity_existing
AT,2005,0.3488381416702327
AT,2006,0.14003490110826908
AT,2007,0.35229707520577835
AT,2008,0.10491711269600996
AT,2009,0.13493328760362866
AT,2011,0.27544500341824646
AT,2012,0.08552685646675506
AT,2013,0.15375728614337456
AT,2014,0.2780288313475252
AT,2016,0.23763404617523207
AT,2017,0.04097295188725541
AT,2018,0.3059998000458603
AT,2019,0.11371860897650418
AT,2020,0.030128501400661457
AT,2021,0.1331375011903752
BE,2005,0.07966339341378163
BE,2006,0.1642522278470639
BE,2007,0.2596895825845608
BE,2008,0.012943215430350116
BE,2009,0.17113812036168832
BE,2011,0.44032035515627566
BE,2012,0.10671256483262756
BE,2013,0.05093725240650544
BE,2014,0.46431788169831084
BE,2016,0.16447701007467874
BE,2017,0.0982748429718071
BE,2018,0.17684213857894138
BE,2019,0.2133768373216857
BE,2021,0.14227158049967853
BG,2005,0.016275665327494707
BG,2006,0.023333096766215068
BG,2007,0.07568780118808188
BG,2008,0.08019159106281198
BG,2009,0.0339884793256364
BG,2010,0.08307937712817585
BG,2012,0.0242245635685309
BG,2013,0.06527696840855451
BG,2014,0.13724061270665172
BG,2015,0.025275624815398173
BG,2016,0.048056186557118505
BG,2017,0.0037260898710107467
BG,2018,0.04661672516834426
BG,2019,0.0948724993478033
BG,2020,0.008584761717674931
CH,2005,0.47264549056295485
CH,2006,0.1897351711981685
CH,2007,0.47733204613828506
CH,2008,0.1421536072896873
CH,2009,0.18282292643611844
CH,2011,0.37320414029381566
CH,2012,0.11588148829565365
CH,2013,0.20832781526959135
CH,2014,0.3767050035116882
CH,2016,0.3219735657092468
CH,2017,0.05551480366178281
CH,2018,0.4146032452539668
CH,2019,0.1540788729939025
CH,2020,0.04082151182282062
CH,2021,0.18038979126868956
CZ,2005,0.1404837388014851
CZ,2006,0.09280447253142572
CZ,2007,0.11713311291646415
CZ,2008,0.024230990324061716
CZ,2009,0.030646051070777537
CZ,2010,0.07088883833406419
CZ,2011,0.3990531332636224
CZ,2012,0.08982341489052138
CZ,2013,0.1128683028485749
CZ,2014,0.23171337865598224
CZ,2015,0.20719221032056784
CZ,2016,0.05174254242784929
CZ,2017,0.059070018851422816
CZ,2018,0.17698385848006734
CZ,2019,0.1718049092736972
CZ,2021,0.04529238811362565
DE,2005,0.29005532009459517
DE,2006,0.1601863944685679
DE,2007,1.9676438933032772
DE,2008,0.1601863944685679
DE,2009,0.9496420642191161
DE,2011,1.059007128003353
DE,2013,0.23833833705413265
DE,2014,0.5429034431713644
DE,2015,0.002039842605986587
DE,2016,0.276527463052512
DE,2017,0.40084351984272115
DE,2018,0.6603986349444182
DE,2019,0.5898693326037999
DE,2020,0.13866331463693923
DE,2021,0.782291473923586
DK,2005,0.06406254313096316
DK,2006,0.100678667077955
DK,2007,0.08356537235963842
DK,2008,0.0716623281061475
DK,2009,0.04889976053100802
DK,2011,0.26323545341115695
DK,2012,0.0240846348669717
DK,2013,0.10043078500428995
DK,2014,0.18174375025566503
DK,2016,0.11058702782106047
DK,2017,0.047559085372478445
DK,2018,0.12548620322622864
DK,2019,0.23833437614214775
DK,2020,0.14713588381989484
DK,2021,0.03404714557587453
EE,2005,0.0027022936013494
EE,2006,0.005851509713443025
EE,2007,0.0010612716134190477
EE,2008,0.004235528836886188
EE,2009,0.0011341938263758804
EE,2011,0.007942674218249967
EE,2012,0.010280668872305264
EE,2013,0.00043036992102170877
EE,2014,0.0014985605636755582
EE,2015,0.0013004049971100436
EE,2016,0.00016274111441573138
EE,2017,0.008591900230998114
EE,2018,0.0015528974775105195
EE,2019,0.006541737032334864
EE,2020,0.00011968650692230194
EE,2021,0.002069938765376491
EL,2006,0.0845480678593699
EL,2007,0.19188439435222712
EL,2008,0.14112377768815487
EL,2009,0.2775993751632214
EL,2010,0.10442467563552967
EL,2012,0.4925699842525666
EL,2013,0.7831423923051657
EL,2014,2.631166451930196
EL,2016,0.7292527729602408
EL,2017,0.43910495864006477
ES,2005,0.23558288108310801
ES,2006,0.2742660860678448
ES,2007,0.3216796629951318
ES,2008,0.41105862332512727
ES,2009,0.12359307603687193
ES,2011,0.182422683027043
ES,2012,0.08316555705535564
ES,2013,0.09619894177996595
ES,2014,0.5744255085596035
ES,2015,0.04973161005950886
ES,2016,0.4289686265039676
ES,2017,0.22618017801587623
ES,2018,0.025916754090809114
ES,2019,0.23739999085005611
ES,2020,0.17019443944640808
ES,2021,0.015366793621632301
FI,2005,0.3756493751968699
FI,2006,0.3067455746453479
FI,2007,0.20499560412634152
FI,2008,0.3509416434432502
FI,2009,0.20499560412634152
FI,2010,0.11547738664724116
FI,2011,0.4769473324684507
FI,2012,0.244158174264716
FI,2013,0.14047642421188616
FI,2015,0.17628617392720866
FI,2016,0.1819418195436224
FI,2017,0.864834528853171
FI,2018,0.5661817270500724
FI,2019,0.23757238497100697
FI,2020,0.030035955928665575
FI,2021,0.10038995939884945
FR,2005,1.1072868790510324
FR,2006,2.3068570473336054
FR,2007,3.1485469733901237
FR,2008,0.7787982530327959
FR,2009,0.7874866365673521
FR,2010,1.2441635126867223
FR,2011,0.5616216244777783
FR,2012,1.5093202543271025
FR,2013,1.6241877960986852
FR,2014,0.5925288809691912
FR,2015,0.3780066131290203
FR,2016,1.594661719365749
FR,2018,0.8083649458227639
FR,2019,0.9803361048601985
FR,2021,0.6436745401409754
HR,2005,0.02199115067909396
HR,2006,0.06851391917441767
HR,2007,0.048375099215459724
HR,2008,0.03268600555079944
HR,2009,0.008284476785024883
HR,2011,0.06790554293354609
HR,2012,0.0327416665899834
HR,2013,0.03471544776981846
HR,2014,0.0324657104431985
HR,2015,0.007931041058475478
HR,2016,0.04259776005417992
HR,2017,0.04603142794754528
HR,2018,0.05504157408038228
HR,2019,0.061247478539099245
HR,2021,0.038324675639937356
HU,2005,0.009015391943904083
HU,2006,0.07402748948322249
HU,2007,0.11607340382225939
HU,2008,0.02752829463309575
HU,2009,0.009015391943904083
HU,2010,0.01048926342617112
HU,2011,0.11385898321888004
HU,2013,0.017736788857417675
HU,2014,0.08016627286840296
HU,2016,0.03589599239593049
HU,2017,0.045134176809120005
HU,2018,0.05893141433923553
HU,2019,0.04378154547172914
HU,2021,0.021153796526439936
IE,2005,0.022964251794205838
IE,2006,0.055536113913185865
IE,2007,0.03380972631004601
IE,2008,0.013176912313236618
IE,2009,0.026853731904134082
IE,2010,0.016385810541932624
IE,2011,0.09451343655766696
IE,2012,0.017213305599697186
IE,2013,0.009063048776405905
IE,2014,0.05767009792422434
IE,2015,0.020838321865657136
IE,2016,0.01894356177482052
IE,2017,0.015090381889660559
IE,2018,0.03451229142852263
IE,2019,0.04986179115866806
IE,2020,0.00821739859383247
IE,2021,0.019753485667494585
IT,2005,0.059768605683418616
IT,2006,0.5604967738797131
IT,2007,0.3143887750936613
IT,2008,0.059768605683418616
IT,2009,0.10489781368460208
IT,2011,1.338116034059979
IT,2012,0.05995599843658851
IT,2013,0.7921259337337992
IT,2014,1.0100890780486045
IT,2016,0.3879968469058137
IT,2017,4.25753117760379
IT,2019,0.591453552215615
IT,2021,0.39830591607760424
LT,2005,0.0033298465958891336
LT,2006,0.0027225349773463674
LT,2007,0.008755641094848521
LT,2008,0.009977515445796229
LT,2009,0.0008123821651752272
LT,2011,0.021023090431891173
LT,2012,0.00267037801505064
LT,2013,0.004305464213599483
LT,2014,0.012218836169820129
LT,2015,0.00861111052451523
LT,2016,0.005597618040707368
LT,2017,0.007495244719537199
LT,2018,0.03968533113923846
LT,2019,0.009396707141986267
LT,2020,0.01018804787353832
LU,2005,0.012676858527003277
LU,2006,0.001967089929304056
LU,2007,0.027130256610837324
LU,2009,0.001853500295796257
LU,2011,0.0028499286574742992
LU,2013,0.030371067374624784
LU,2015,0.015718608482596295
LU,2017,0.020707316499966436
LU,2019,0.017256534323603804
LU,2020,0.10668093388296551
LV,2005,0.0038742728435638006
LV,2006,0.005590908435783261
LV,2007,0.006576991411532451
LV,2008,0.006857113918872386
LV,2009,0.0005831211499316699
LV,2010,0.003076710664652375
LV,2011,0.002632602664774659
LV,2012,0.0017301696111009352
LV,2013,0.003663823476144877
LV,2014,0.007328589021617529
LV,2015,0.004042778652915273
LV,2016,0.0008803997604589542
LV,2017,0.007361365088609741
LV,2018,0.004403168589984934
LV,2019,0.00517679123229738
LV,2020,0.0022036603969162413
LV,2021,0.005323868104805865
NL,2005,0.052591332128076644
NL,2006,0.03766542906658371
NL,2007,0.08708583309922804
NL,2008,0.00833448440832466
NL,2009,0.03221697004838425
NL,2011,0.20185276777709665
NL,2013,0.037004110308659834
NL,2014,0.22621659776816874
NL,2015,0.013763570485282445
NL,2016,0.10566714349733065
NL,2017,0.1404151700077844
NL,2018,0.17201668465200795
NL,2019,0.212632031160796
NL,2020,0.2144976939634978
NL,2021,0.03223358507270511
NO,2005,1.5005611345181333
NO,2006,1.0254648598879328
NO,2007,1.8382769548388176
NO,2008,1.2650168302876712
NO,2009,1.0254648598879328
NO,2010,0.8936693487728866
NO,2011,0.6202452270717684
NO,2012,0.24473622218975122
NO,2013,0.35613156807065444
NO,2014,0.3346272844147046
NO,2015,0.0523512083386383
NO,2016,0.22745794821863075
NO,2017,0.12862092529849414
NO,2018,0.1261995980543987
NO,2019,0.5977492912347293
NO,2020,0.22001744613368
PL,2009,0.0003746405507112083
PL,2010,0.009545159251207434
PL,2011,0.021889050379099488
PL,2012,0.01630353191803398
PL,2013,0.03020547263849474
PL,2014,0.04834122216021511
PL,2015,1.2120934883676229
PL,2017,0.015326979039964828
PL,2019,0.12911183405482474
PL,2020,0.03050596879487366
PT,2005,0.0014889232831003093
PT,2006,0.008979985710119109
PT,2007,0.004171107582781709
PT,2008,0.0052568077876525175
PT,2009,0.0015388182422490532
PT,2010,0.012765218633107433
PT,2011,0.003756411123652962
PT,2012,0.0011486795020659818
PT,2013,0.0015131596876176024
PT,2014,0.13992679198777666
PT,2015,0.000959304265933041
PT,2016,0.007979144262358137
PT,2017,0.0046488243748661505
PT,2018,0.006111973103764632
PT,2019,0.005731725864183194
PT,2020,0.005966168513969008
PT,2021,0.0013416724124643497
RO,2005,0.003568505875860578
RO,2006,0.003391048544072024
RO,2007,0.007897046982884775
RO,2008,0.0017786997569927104
RO,2009,0.002855555585813207
RO,2010,0.0063126285852225066
RO,2011,0.011041808331785821
RO,2012,0.0002687108575129638
RO,2013,0.004550115474276769
RO,2014,0.004673773102526095
RO,2015,0.001050463461007539
RO,2017,0.002416752801660006
RO,2018,0.004755543337033766
RO,2019,0.0031864036224226594
RO,2020,0.0087908431447462
SE,2005,0.4969868793047148
SE,2006,0.8768751128809852
SE,2007,0.5765243181557638
SE,2008,0.4893581104863379
SE,2009,0.508110057770893
SE,2010,0.21148437765309752
SE,2011,1.4285095445903873
SE,2012,0.1510195203169966
SE,2013,0.417663724969156
SE,2014,0.33573248531785177
SE,2015,0.35560248956197404
SE,2016,0.4606044623773511
SE,2017,0.005373351836871662
SE,2018,0.22777900281338592
SE,2019,0.7398696423573823
SE,2020,0.3921796155858117
SI,2005,0.00502100608950995
SI,2006,0.03564443666883044
SI,2007,0.03053396495981708
SI,2008,0.014002639763434879
SI,2009,0.00870590196159808
SI,2011,0.0651824166916334
SI,2012,0.039628925010070024
SI,2013,0.0481452062816318
SI,2014,0.056125167338766636
SI,2015,0.0017594751426921467
SI,2016,0.019657618215584396
SI,2017,0.045424717840006935
SI,2018,0.038196724541535644
SI,2019,0.043698728231098855
SI,2020,0.0010921171766396013
SI,2021,0.03905402790953828
SK,2006,0.011553775351171974
SK,2007,0.05252150384028589
SK,2009,0.008503337002518601
SK,2011,0.10717359231736123
SK,2013,0.01138769059182012
SK,2014,0.08613960571834704
SK,2015,0.030374657481626273
SK,2016,0.0005942778841870705
SK,2018,0.05775121493798119
SK,2019,0.015555441376007829
SK,2020,0.11629307991219544
SK,2021,0.026909792932404357
UK,2005,0.6248239990729892
UK,2006,0.5008964294681262
UK,2007,0.5127569874196256
UK,2008,0.17237227544749548
UK,2009,0.5155596265522224
UK,2011,0.45181390088378337
UK,2013,0.12680952105662038
UK,2014,0.7832522306275406
UK,2015,0.8639743164258984
UK,2016,0.6153643235994855
UK,2017,0.008797552709246662
UK,2018,0.132457615738634
UK,2019,0.05106199359603327
UK,2021,0.49287113587177744
