node,year_construction,capacity_existing
AT,2018,0.0013905554617590248
AT,2019,0.02359435259318525
AT,2020,0.0026886868150820947
CH,2018,0.0018840823002646261
CH,2019,0.031968305709137314
CH,2020,0.0036429379327617972
CZ,2007,0.0013308858340266637
CZ,2008,0.0003284951880530478
CZ,2009,0.0002913209929757323
CZ,2012,0.00019429207576299786
CZ,2014,0.000770239005509364
CZ,2017,0.0015297563058939978
CZ,2018,0.0004517048083254021
CZ,2019,0.0006571422915029402
DK,2011,0.0006953418418106595
DK,2012,0.0014637509491987788
DK,2013,0.004736436888082129
DK,2014,0.0001406563566458182
DK,2015,0.004630204601487811
DK,2016,0.0012704872772952777
DK,2017,0.004949498647953557
DK,2018,0.025544851369741956
DK,2019,0.02611314018646866
DK,2020,0.099974017616957
FI,2007,0.005139256419954243
FI,2008,0.022834677073248016
FI,2010,0.020047282617847436
FI,2011,0.004941222973900261
FI,2012,0.019632500779188287
FI,2013,0.0028322650685109613
FI,2014,0.02406706969676424
FI,2015,0.07901052734971249
FI,2017,0.016806076140439025
FI,2019,0.0018371072964667723
FI,2020,0.01772317563410028
FR,2014,0.010130427379566237
FR,2015,0.012928076585741884
FR,2017,0.0009324656852906683
FR,2018,0.026444291802070335
FR,2019,0.015842108757994557
FR,2020,0.006016481341873575
NO,1999,0.003915305191879919
NO,2000,0.0026657154387100166
NO,2001,0.00514030286225484
NO,2002,0.0019526246957737908
NO,2003,0.005737168683264268
NO,2004,0.0011782444010162015
NO,2005,0.005193895139240979
NO,2006,0.036315909671734314
NO,2008,0.03349605940279679
NO,2009,0.002009827470273804
NO,2010,0.006337121163455308
NO,2012,0.020097944544850678
NO,2013,0.029939795548326705
NO,2014,0.002036794736060887
NO,2015,0.017329649349314587
NO,2016,0.003468514648392103
NO,2017,0.012225157931806603
NO,2018,0.010472329177007798
NO,2019,0.018654360602106814
SE,2011,0.6790763668017985
SE,2012,0.09945184072056734
SE,2014,0.1686996179027065
SE,2017,0.0019915092991693584
SE,2018,0.0112940688812464
SE,2019,0.023713467272389654
SE,2020,0.1447404769889592
