year,capex_specific_conversion
2022,692.1946998189525
2023,670.70214318318
2024,649.2095865474078
2025,627.7170299116353
2026,610.6354023432151
2027,593.5537747747949
2028,576.4721472063745
2029,559.3905196379543
2030,542.3088920695341
2031,531.1419193868815
2032,519.9749467042287
2033,508.8079740215761
2034,497.6410013389235
2035,486.47402865627083
2036,476.30953985256184
2037,466.14505104885285
2038,455.9805622451439
2039,445.8160734414349
2040,435.65158463772593
2041,425.38684744612254
2042,415.1221102545192
2043,404.8573730629158
2044,394.5926358713125
2045,384.3278986797091
2046,374.86514859126066
2047,365.4023985028122
2048,355.9396484143638
2049,346.47689832591533
2050,337.0141482374669
