year,opex_specific_fixed
2022,29.036128809937328
2023,28.096227834190938
2024,27.15632685844455
2025,26.21642588269816
2026,25.479026650498394
2027,24.741627418298627
2028,24.004228186098857
2029,23.26682895389909
2030,22.529429721699323
2031,22.06370362069329
2032,21.59797751968725
2033,21.132251418681218
2034,20.66652531767518
2035,20.200799216669147
2036,19.782189857973464
2037,19.363580499277777
2038,18.944971140582094
2039,18.526361781886408
2040,18.107752423190725
2041,17.68312816122138
2042,17.258503899252034
2043,16.83387963728269
2044,16.409255375313343
2045,15.984631113343996
2046,15.59810123877451
2047,15.211571364205023
2048,14.825041489635538
2049,14.438511615066052
2050,14.051981740496565
