year,opex_specific_variable
2022,1.0
2023,0.9871119485350557
2024,0.9742238970701115
2025,0.9613358456051672
2026,0.9484477941402228
2027,0.9355597426752787
2028,0.9226716912103344
2029,0.9097836397453902
2030,0.8968955882804459
2031,0.8840075368155015
2032,0.8711194853505573
2033,0.858231433885613
2034,0.8453433824206688
2035,0.8324553309557244
2036,0.8195672794907801
2037,0.8066792280258359
2038,0.7937911765608916
2039,0.7809031250959475
2040,0.7680150736310032
2041,0.7551270221660589
2042,0.7422389707011147
2043,0.7293509192361702
2044,0.716462867771226
2045,0.7035748163062817
2046,0.6906867648413374
2047,0.6777987133763932
2048,0.6649106619114489
2049,0.6520226104465046
2050,0.6391345589815604
