year,capex_specific_conversion
2022,5107.033569419627
2023,4857.90998066745
2024,4608.786391915273
2025,4359.662803163096
2026,4110.539214410919
2027,3861.415625658742
2028,3612.292036906565
2029,3363.1684481543884
2030,3114.0448594022114
2031,3028.7703582523186
2032,2943.495857102426
2033,2858.2213559525326
2034,2772.94685480264
2035,2687.672353652747
2036,2602.397852502854
2037,2517.123351352961
2038,2431.848850203068
2039,2346.574349053175
2040,2261.299847903282
2041,2190.8721060830644
2042,2120.4443642628466
2043,2050.0166224426293
2044,1979.5888806224116
2045,1909.1611388021938
2046,1838.7333969819763
2047,1768.3056551617585
2048,1697.877913341541
2049,1627.4501715213232
2050,1557.0224297011057
