year,opex_specific_fixed
2022,58.128837375507935
2023,56.052807469239795
2024,53.976777562971655
2025,51.900747656703516
2026,49.824717750435376
2027,47.748687844167236
2028,45.672657937899096
2029,43.59662803163096
2030,41.52059812536282
2031,41.45768812820317
2032,41.39477813104354
2033,41.331868133883894
2034,41.26895813672426
2035,41.206048139564615
2036,41.14313814240497
2037,41.080228145245336
2038,41.01731814808569
2039,40.95440815092606
2040,40.89149815376641
2041,40.95440815092606
2042,41.01731814808569
2043,41.080228145245336
2044,41.14313814240497
2045,41.206048139564615
2046,41.26895813672426
2047,41.331868133883894
2048,41.39477813104354
2049,41.45768812820317
2050,41.52059812536282
