year,opex_specific_variable
2022,1.0
2023,0.9642857142857142
2024,0.9285714285714285
2025,0.8928571428571426
2026,0.8571428571428571
2027,0.8214285714285713
2028,0.7857142857142854
2029,0.7499999999999998
2030,0.714285714285714
2031,0.7142857142857141
2032,0.7142857142857142
2033,0.7142857142857142
2034,0.7142857142857142
2035,0.7142857142857143
2036,0.7142857142857143
2037,0.7142857142857143
2038,0.7142857142857144
2039,0.7142857142857144
2040,0.7142857142857144
2041,0.7142857142857144
2042,0.7142857142857144
2043,0.7142857142857144
2044,0.7142857142857144
2045,0.7142857142857144
2046,0.7142857142857144
2047,0.7142857142857144
2048,0.7142857142857144
2049,0.7142857142857144
2050,0.7142857142857144
