year,capex_specific_conversion
2022,1118.0801774804827
2023,1118.0801774804827
2024,1118.0801774804827
2025,1118.0801774804827
2026,1100.6702061959134
2027,1083.260234911344
2028,1065.8502636267744
2029,1048.440292342205
2030,1031.0303210576358
2031,1026.6778282364935
2032,1022.3253354153512
2033,1017.9728425942088
2034,1013.6203497730666
2035,1009.2678569519243
2036,1004.9153641307819
2037,1000.5628713096396
2038,996.2103784884972
2039,991.8578856673549
2040,987.5053928462125
2041,984.6037309654511
2042,981.7020690846895
2043,978.800407203928
2044,975.8987453231664
2045,972.9970834424049
2046,970.0954215616433
2047,967.1937596808817
2048,964.2920978001202
2049,961.3904359193587
2050,958.4887740385971
