year,capex_specific_conversion
2022,92.91054810923218
2023,93.26026752474951
2024,93.60998694026685
2025,93.95970635578418
2026,95.98023223620761
2027,98.00075811663105
2028,100.02128399705448
2029,102.04180987747792
2030,104.06233575790135
2031,104.06233575790135
2032,104.06233575790135
2033,104.06233575790135
2034,104.06233575790135
2035,104.06233575790135
2036,104.06233575790135
2037,104.06233575790135
2038,104.06233575790135
2039,104.06233575790135
2040,104.06233575790135
2041,104.06233575790135
2042,104.06233575790135
2043,104.06233575790135
2044,104.06233575790135
2045,104.06233575790135
2046,104.06233575790135
2047,104.06233575790135
2048,104.06233575790135
2049,104.06233575790135
2050,104.06233575790135
