year,opex_specific_fixed
2022,2.0197458828616295
2023,2.0179691928497903
2024,2.016192502837951
2025,2.014415812826112
2026,2.0744589620157985
2027,2.134502111205485
2028,2.194545260395172
2029,2.2545884095848585
2030,2.314631558774545
2031,2.3110781787508667
2032,2.3075247987271883
2033,2.3039714187035103
2034,2.300418038679832
2035,2.2968646586561534
2036,2.293311278632475
2037,2.289757898608797
2038,2.2862045185851185
2039,2.2826511385614405
2040,2.279097758537762
2041,2.2755443785140836
2042,2.271990998490405
2043,2.268437618466727
2044,2.2648842384430488
2045,2.2613308584193703
2046,2.257777478395692
2047,2.2542240983720134
2048,2.250670718348335
2049,2.2471173383246565
2050,2.243563958300978
