node,year_construction,capacity_existing
AT,1955.0,0.084
AT,1958.0,0.05
AT,1959.0,0.057
AT,1962.0,0.0892
AT,1970.0,0.254
AT,1974.0,0.14
AT,1993.0,0.158
AT,1997.0,0.114
AT,2005.0,0.0005
AT,2006.0,0.001
AT,2012.0,0.838
BE,1993.0,0.052
BE,1994.0,0.46
BE,1995.0,0.02
BE,1997.0,0.359
BE,1998.0,0.3728
BE,2001.0,0.385
BE,2007.0,0.133
BE,2008.0,0.304
BE,2010.0,0.315
BE,2011.0,0.422
BE,2012.0,0.405
BE,2013.0,0.015
BE,2014.0,0.0063
BG,1949.0,0.1102
BG,1960.0,0.018
BG,1964.0,0.413
BG,1976.0,0.085
BG,1982.0,0.018
BG,2005.0,0.018
CH,1993.0,0.001065
CH,2009.0,0.05225
CZ,1900.0,0.0025
CZ,1930.0,0.0805999999999999
CZ,1961.0,0.024
CZ,1963.0,0.016
CZ,1972.0,0.018
CZ,1978.0,0.004
CZ,1993.0,0.0151799999999999
CZ,1996.0,0.0018
CZ,1999.0,0.095
CZ,2014.0,0.84515
DE,1920.0,0.1
DE,1927.0,0.191
DE,1929.0,0.038
DE,1936.0,0.0265
DE,1940.0,0.014
DE,1947.0,0.011
DE,1948.0,0.084
DE,1954.0,0.224
DE,1955.0,0.325
DE,1958.0,0.385
DE,1960.0,0.015
DE,1961.0,0.0552
DE,1962.0,0.128
DE,1964.0,0.0875
DE,1965.0,0.152
DE,1966.0,0.064
DE,1967.0,0.8264
DE,1968.0,0.0996999999999999
DE,1969.0,0.081675
DE,1970.0,0.0215
DE,1971.0,0.2142
DE,1972.0,0.591
DE,1973.0,3.1407
DE,1974.0,2.4455
DE,1975.0,0.188
DE,1976.0,1.1901
DE,1978.0,0.3405
DE,1979.0,0.0725
DE,1980.0,0.8797
DE,1981.0,0.027
DE,1982.0,0.0075
DE,1984.0,0.033
DE,1988.0,0.0482999999999999
DE,1989.0,0.2601
DE,1990.0,0.0252
DE,1991.0,0.0226
DE,1992.0,0.2079
DE,1993.0,0.1528
DE,1994.0,0.6727000000000001
DE,1995.0,0.3320999999999999
DE,1996.0,0.9651
DE,1997.0,1.0237
DE,1998.0,0.2831
DE,1999.0,0.2824
DE,2000.0,0.7536
DE,2001.0,0.2181999999999999
DE,2002.0,0.3585
DE,2003.0,0.0319
DE,2004.0,0.1646999999999999
DE,2005.0,1.1612408
DE,2006.0,0.0357
DE,2007.0,1.333
DE,2008.0,0.8505
DE,2009.0,0.069
DE,2010.0,0.3283999999999999
DE,2011.0,0.1237
DE,2012.0,0.1531999999999999
DE,2013.0,0.9344
DE,2014.0,0.2334
DE,2015.0,0.1
DE,2016.0,0.5715
DE,2017.0,0.0566
DE,2018.0,0.123075
DE,2019.0,0.5352
DE,2020.0,0.258
DE,2021.0,0.106
DK,1920.0,0.1
DK,1951.0,0.427
DK,1953.0,0.079
DK,1990.0,0.557
DK,1991.0,0.07125
DK,1993.0,0.06
DK,1996.0,0.168
DK,1997.0,0.01045
DK,1998.0,0.03705
EE,1981.0,0.169
EE,2004.0,0.0057
EE,2011.0,0.0019
EE,2013.0,0.12
EE,2014.0,0.393
EL,2002.0,0.4763
EL,2004.0,0.147762
EL,2006.0,0.38938
EL,2007.0,0.741
EL,2008.0,0.334
EL,2010.0,0.845
EL,2012.0,0.4366
ES,1961.0,0.39094
ES,1962.0,1.204
ES,1967.0,1.27106
ES,1968.0,0.046
ES,1970.0,2.372072
ES,1972.0,1.6213499999999998
ES,1980.0,0.50552
ES,1983.0,0.02
ES,1988.0,0.1891999999999999
ES,1990.0,0.0785
ES,1992.0,0.0295
ES,1993.0,0.3596
ES,1994.0,0.139
ES,1995.0,0.1413
ES,1996.0,0.234
ES,1997.0,0.08758
ES,1998.0,0.212025
ES,1999.0,0.20211
ES,2000.0,0.8965299999999999
ES,2001.0,0.43885
ES,2002.0,2.1409
ES,2003.0,1.6161500000000002
ES,2004.0,2.46883
ES,2005.0,3.58197
ES,2006.0,4.6415500000000005
ES,2007.0,2.35072
ES,2008.0,1.77966
ES,2009.0,0.685009
ES,2010.0,0.9157
ES,2011.0,0.01
ES,2012.0,0.0131799999999999
FI,1977.0,0.295
FI,1988.0,0.142
FI,1989.0,0.1206
FI,1990.0,0.48
FR,1933.0,0.052
FR,1949.0,0.0803
FR,1963.0,0.44
FR,1964.0,0.0163999999999999
FR,1969.0,0.01
FR,1970.0,0.601
FR,1971.0,0.0662249999999999
FR,1974.0,0.015
FR,1980.0,0.0273
FR,1984.0,0.0606
FR,1989.0,0.0233
FR,1991.0,0.02
FR,1994.0,0.206
FR,1996.0,0.078
FR,1997.0,0.048
FR,1998.0,0.044
FR,1999.0,0.3566
FR,2000.0,0.706941
FR,2001.0,0.45765
FR,2002.0,0.045
FR,2003.0,0.25
FR,2004.0,0.808
FR,2006.0,0.0132
FR,2008.0,0.514
FR,2009.0,0.437
FR,2010.0,1.299
FR,2011.0,1.8239
FR,2012.0,0.421
FR,2013.0,0.024
FR,2014.0,0.0114
FR,2015.0,0.012
FR,2017.0,0.0123
FR,2018.0,0.0238
FR,2019.0,0.012
HR,1970.0,0.7198
HR,1975.0,0.0836
HR,1979.0,0.453
HU,1914.0,0.1778
HU,1953.0,0.049
HU,1998.0,0.24
HU,2000.0,0.5594
HU,2002.0,0.11
HU,2004.0,0.1141
HU,2007.0,0.0471
HU,2011.0,2.692
IE,1949.0,0.216
IE,1954.0,0.088
IE,1971.0,0.464
IE,1974.0,0.0065
IE,1980.0,0.96
IE,1993.0,0.004
IE,1997.0,0.02299
IE,1999.0,0.005
IE,2002.0,0.7587
IE,2004.0,0.00475
IE,2005.0,0.3115
IE,2006.0,0.41
IE,2007.0,0.353165
IE,2008.0,0.0029
IE,2009.0,0.0095
IE,2010.0,0.445
IE,2015.0,0.464
IT,1952.0,1.45
IT,1957.0,0.392
IT,1958.0,0.1941
IT,1961.0,0.969
IT,1962.0,0.836
IT,1967.0,0.7
IT,1970.0,2.393065
IT,1972.0,0.105
IT,1973.0,1.2
IT,1975.0,0.456
IT,1976.0,1.6
IT,1977.0,0.35
IT,1978.0,0.36757
IT,1979.0,0.174
IT,1980.0,0.365
IT,1984.0,0.04275
IT,1985.0,1.15
IT,1987.0,0.212
IT,1990.0,0.1264269999999999
IT,1991.0,0.8116
IT,1992.0,1.065
IT,1993.0,0.236
IT,1994.0,0.187645
IT,1995.0,0.170923
IT,1996.0,0.761
IT,1997.0,4.4015
IT,1998.0,0.8486
IT,1999.0,1.224
IT,2000.0,0.761
IT,2001.0,0.5692
IT,2002.0,2.277
IT,2003.0,1.877
IT,2004.0,2.8368
IT,2005.0,4.073695
IT,2006.0,3.615
IT,2007.0,2.59005
IT,2008.0,3.742
IT,2009.0,0.4906999999999999
IT,2010.0,1.6474000000000002
IT,2011.0,1.595
IT,2012.0,0.8
IT,2013.0,0.1153
LT,1951.0,0.029
LT,1958.0,0.008
LT,1959.0,0.01026
LT,1971.0,0.17
LT,2004.0,0.021
LT,2006.0,0.0006
LT,2008.0,0.035
LT,2011.0,0.047
LU,2002.0,0.3763999999999999
LV,1955.0,0.144
LV,1973.0,0.42
LV,1975.0,0.443
LV,1997.0,0.00015675
LV,2006.0,0.048
LV,2009.0,0.0037677
NL,1974.0,1.506
NL,1976.0,2.052
NL,1979.0,0.44
NL,1982.0,0.784
NL,1984.0,0.268
NL,1985.0,0.06
NL,1986.0,0.083
NL,1987.0,0.647
NL,1988.0,0.272
NL,1993.0,0.06
NL,1995.0,1.018
NL,1996.0,0.899
NL,1997.0,1.193
NL,1998.0,0.63
NL,1999.0,0.209
NL,2002.0,0.043
NL,2003.0,0.079
NL,2004.0,1.08
NL,2007.0,0.006
NL,2009.0,0.93
NL,2010.0,1.85
NL,2012.0,2.521
NL,2013.0,2.736
NO,2007.0,0.42
NO,2010.0,0.27
PL,1950.0,0.2433
PL,1976.0,0.0399
PL,1981.0,0.0106
PL,1995.0,0.014304
PL,2000.0,0.1503
PL,2001.0,0.005
