node,year_construction,capacity_existing
BE,1975.0,5.943
BG,1974.0,4.022
CH,1969.0,0.73
CH,1979.0,0.97
CH,1984.0,1.22
CZ,2002.0,2.056
DE,1976.0,1.435
DE,1979.0,2.387
DE,1985.0,1.43
DE,1988.0,1.363
ES,1983.0,2.017
ES,1984.0,1.992
ES,1985.0,1.064
ES,1988.0,2.09
FI,1977.0,0.507
FI,1979.0,1.78
FI,1981.0,1.014
FR,1967.0,3.0
FR,1972.0,3.58
FR,1980.0,12.68
FR,1981.0,3.64
FR,1983.0,1.83
FR,1984.0,7.28
FR,1985.0,5.32
FR,1986.0,6.96
FR,1987.0,5.2
FR,1988.0,5.24
FR,1990.0,4.31
FR,1991.0,2.62
FR,2002.0,2.99
HU,1983.0,2.0
NL,1973.0,0.482
RO,1996.0,2.74
SE,1972.0,1.45
SE,1975.0,2.19
SE,1980.0,1.01
SE,1981.0,1.12
SE,1985.0,1.19
SI,1983.0,0.696
SK,1972.0,1.748
SK,1998.0,0.936
UK,1976.0,0.965
UK,1988.0,1.2
UK,1989.0,3.485
UK,1995.0,1.198
