year,capex_specific_conversion
2022,310.41178747496673
2023,310.0439310583501
2024,309.6760746417334
2025,309.3082182251168
2026,308.9494667134835
2027,308.59071520185023
2028,308.23196369021696
2029,307.8732121785837
2030,307.5144606669504
2031,307.1689185862328
2032,306.82337650551517
2033,306.4778344247975
2034,306.1322923440799
2035,305.78675026336225
2036,305.44120818264463
2037,305.095666101927
2038,304.7501240212094
2039,304.40458194049177
2040,304.05903985977415
2041,303.73039128630137
2042,303.40174271282865
2043,303.0730941393559
2044,302.74444556588315
2045,302.4157969924104
2046,302.0871484189376
2047,301.7584998454649
2048,301.4298512719921
2049,301.1012026985194
2050,300.7725541250466
