year,opex_specific_fixed
2022,11.971010783722905
2023,11.963409357199719
2024,11.955807930676531
2025,11.948206504153346
2026,11.94354608947971
2027,11.938885674806077
2028,11.934225260132441
2029,11.929564845458808
2030,11.924904430785173
2031,11.9140954553291
2032,11.903286479873028
2033,11.892477504416954
2034,11.881668528960882
2035,11.87085955350481
2036,11.860050578048737
2037,11.849241602592665
2038,11.83843262713659
2039,11.827623651680518
2040,11.816814676224446
2041,11.805855328186531
2042,11.794895980148619
2043,11.783936632110704
2044,11.772977284072791
2045,11.762017936034876
2046,11.751058587996962
2047,11.740099239959047
2048,11.729139891921134
2049,11.71818054388322
2050,11.707221195845305
