node,year_construction,capacity_existing
AT,2009,0.04902524015680454
AT,2010,0.00614763761575593
AT,2012,0.0023527379984140118
AT,2015,0.08348967853388273
AT,2016,0.025720473115665665
AT,2020,0.01524400498273129
BG,2016,0.002237700807697779
BG,2019,0.0005701120131566548
CH,2009,0.06642495735395937
CH,2010,0.008329516900846823
CH,2012,0.0031877563620256733
CH,2015,0.11312128851120312
CH,2016,0.03484901500466403
CH,2020,0.020654307406608813
CZ,2011,0.03633955057733952
CZ,2014,0.0019681205782354633
CZ,2017,0.006486958487988553
CZ,2019,0.004744835212730662
DE,2009,0.041795658902700816
DE,2010,0.025022173762769828
DE,2012,0.0848338464299993
DE,2015,0.0615405785522086
DE,2016,0.0035601154013484293
DE,2019,0.02531136000084705
DK,2009,0.08318100313077897
DK,2015,0.0067865355619735335
DK,2016,0.004156081237990827
DK,2018,0.009712764307163446
EE,2015,0.0022944396620352137
EE,2017,0.013425434792941275
FI,2007,0.02229186654138382
FI,2009,0.12029937836094762
FI,2012,0.014833302497964551
FI,2014,0.006043937357024354
FI,2015,0.05504841996030346
FI,2016,0.07130064720307089
FI,2019,0.06196583130759298
FR,2006,0.049719464289431414
FR,2010,0.20701812993997248
FR,2013,0.12226193098666904
FR,2017,0.06891656859528311
FR,2019,0.02344879872806288
FR,2020,0.07040897469369617
HR,2017,0.0065303032092957625
HU,2017,0.0005304442352187678
HU,2019,0.001246010901296636
IT,2011,0.2608024760777561
IT,2013,0.230135168507409
IT,2016,0.04964044437228676
IT,2018,0.17698216642889852
IT,2020,0.10078703627411889
LT,2012,0.009662981115284408
LT,2018,0.0065899753596067034
LT,2020,0.002448157938918078
LV,2009,0.0006507610801413169
LV,2016,0.00011237225248643271
LV,2018,0.0022205230289341626
LV,2020,0.00071487485571723
NL,2007,0.022416795271107515
NL,2011,0.057305787847428596
NL,2013,0.008471069471731735
NL,2014,0.09420987795218105
NL,2017,0.0024059165465140364
NL,2018,0.005867006131803354
NL,2019,0.007073848001276306
NO,2010,0.004223711229397992
NO,2016,0.008895980068682884
NO,2018,0.009610316547594859
NO,2019,0.002975019366905418
PL,1999,0.02175638430500071
PL,2001,0.08364263250877779
PL,2008,0.015672619837816537
PL,2010,0.01658713517057403
PL,2012,0.024863031224998222
PL,2014,0.014119956365248681
PL,2017,0.031523323338485204
PL,2020,0.007077127815547979
RO,2009,0.019267509899740243
RO,2016,0.05463201761926138
RO,2018,0.013488860862747643
RO,2020,0.0006377614128907638
SE,2016,0.04893185345870507
SE,2018,0.047732063965805566
SI,2013,0.0013497393227931568
SI,2014,0.000700672268529292
SI,2016,0.0016630480308687991
SI,2017,0.0025009205831951105
SK,2016,0.01625324650147955
SK,2017,0.0003333498414106184
UK,2009,0.0019036783549984532
UK,2011,0.01530792439770115
UK,2014,0.019190533042474138
UK,2017,0.0035188639352493195
