year,capex_specific_conversion
2022,719.9496047432611
2023,720.058686432633
2024,720.1677681220046
2025,720.2768498113765
2026,722.0567379656543
2027,723.8366261199322
2028,725.6165142742101
2029,727.396402428488
2030,729.1762905827659
2031,726.1559175626393
2032,723.1355445425127
2033,720.115171522386
2034,717.0947985022594
2035,714.0744254821328
2036,711.0540524620062
2037,708.0336794418796
2038,705.0133064217531
2039,701.9929334016265
2040,698.9725603814999
2041,695.9521873613733
2042,692.9318143412466
2043,689.9114413211202
2044,686.8910683009935
2045,683.8706952808669
2046,680.8503222607403
2047,677.8299492406137
2048,674.8095762204871
2049,671.7892032003605
2050,668.7688301802339
