year,opex_specific_fixed
2022,28.777547272381018
2023,28.631858691410205
2024,28.486170110439392
2025,28.34048152946858
2026,28.256612787699293
2027,28.172744045930006
2028,28.088875304160723
2029,28.005006562391436
2030,27.92113782062215
2031,27.757682339532945
2032,27.59422685844374
2033,27.43077137735454
2034,27.267315896265334
2035,27.10386041517613
2036,26.940404934086924
2037,26.77694945299772
2038,26.613493971908518
2039,26.450038490819313
2040,26.28658300973011
2041,26.123127528640904
2042,25.959672047551702
2043,25.796216566462498
2044,25.632761085373296
2045,25.46930560428409
2046,25.305850123194887
2047,25.142394642105682
2048,24.97893916101648
2049,24.815483679927276
2050,24.65202819883807
