year,opex_specific_variable
2022,1.0
2023,1.0094857378826743
2024,1.0189714757653485
2025,1.0284572136480228
2026,1.037942951530697
2027,1.0474286894133713
2028,1.0569144272960456
2029,1.0664001651787198
2030,1.075885903061394
2031,1.0777708894355151
2032,1.0796558758096364
2033,1.0815408621837574
2034,1.0834258485578787
2035,1.0853108349319998
2036,1.0871958213061208
2037,1.089080807680242
2038,1.0909657940543633
2039,1.0928507804284846
2040,1.0947357668026056
2041,1.0966207531767267
2042,1.098505739550848
2043,1.100390725924969
2044,1.10227571229909
2045,1.1041606986732113
2046,1.1060456850473326
2047,1.1079306714214536
2048,1.109815657795575
2049,1.111700644169696
2050,1.1135856305438172
