node,year_construction,capacity_existing
AT,1972.0,0.0135
BE,1973.0,0.07
BG,1963.0,0.006
CZ,1963.0,0.06672
CZ,1970.0,0.012
CZ,1998.0,0.0004
DE,1940.0,0.4259
DE,1962.0,0.1108
DE,1964.0,0.136
DE,1972.0,0.6949
DE,1973.0,0.2285
DE,1974.0,0.088
DE,1976.0,0.03
DE,1977.0,0.184
DE,1978.0,0.0458999999999999
DE,1982.0,0.0928
DE,1988.0,0.0114
DE,1991.0,0.00052
DE,1993.0,0.038
DE,1994.0,0.12
DE,1995.0,0.087
DE,1997.0,0.0973
DE,2004.0,0.0970999999999999
DE,2011.0,0.0248
DK,1972.0,0.67
DK,1975.0,0.0800999999999999
EE,1958.0,0.037
EE,1959.0,0.612
EE,1969.0,1.629
EE,2012.0,0.035
EL,1960.0,0.040369
EL,1989.0,0.781
EL,2003.0,0.084
EL,2008.0,0.01406
EL,2009.0,0.0288
ES,1957.0,0.0111799999999999
ES,1961.0,0.0128
ES,1966.0,0.0115
ES,1967.0,0.365212
ES,1968.0,0.2092
ES,1969.0,1.60342
ES,1972.0,0.75387
ES,1975.0,0.14986
ES,1980.0,0.17714
ES,1982.0,0.0283999999999999
ES,1985.0,0.0135
ES,1986.0,0.20442
ES,1990.0,0.6933400000000001
ES,1991.0,0.2452
ES,1992.0,0.87866
ES,1993.0,0.05045
ES,1994.0,0.0352
ES,1995.0,0.04545
ES,1996.0,0.034
ES,1997.0,0.1217
ES,1998.0,0.0209
ES,1999.0,0.0588
ES,2000.0,0.029
ES,2001.0,0.0005
ES,2002.0,0.0156
ES,2003.0,0.0432
FI,2012.0,0.326
FR,1905.0,0.0108
FR,1960.0,0.0101999999999999
FR,1962.0,0.6
FR,1964.0,0.035
FR,1966.0,0.0858
FR,1970.0,0.0513
FR,1971.0,0.0517
FR,1972.0,0.072
FR,1973.0,0.0995
FR,1978.0,0.0108
FR,1980.0,0.324
FR,1981.0,0.184
FR,1986.0,0.0117
FR,1988.0,0.0036
FR,1989.0,0.0042
FR,1990.0,0.0101999999999999
FR,1991.0,0.031
FR,1992.0,0.0108
FR,1993.0,0.02116
FR,1994.0,0.0424
FR,1995.0,0.0668
FR,1997.0,0.2556
FR,2000.0,0.0203999999999999
FR,2003.0,0.01375
FR,2004.0,0.0065
FR,2010.0,0.02145
FR,2011.0,0.0389
FR,2016.0,0.004
FR,2017.0,0.00268
FR,2018.0,0.0044
HR,1976.0,0.09
HR,1978.0,0.303
IE,1969.0,0.5893999999999999
IE,2004.0,0.104
IE,2010.0,0.1102
IT,1959.0,0.214
IT,1963.0,0.252
IT,1964.0,0.0855
IT,1969.0,1.202
IT,1971.0,1.166
IT,1984.0,2.14
IT,1992.0,0.176
IT,2002.0,0.63
LT,1962.0,1.955
LT,1984.0,0.36
PT,1979.0,0.16704
PT,1983.0,0.061116
PT,1992.0,0.01728
PT,1994.0,0.01901
PT,1995.0,0.008
PT,1996.0,0.031156
PT,1997.0,0.01083
PT,1998.0,0.02417
PT,1999.0,0.001266
RO,1982.0,0.12
RO,2007.0,0.0228
SE,1963.0,0.72
SE,1969.0,1.005
SE,1971.0,0.037
SE,1972.0,0.25
UK,1945.0,0.002375
UK,1946.0,0.0057
UK,1952.0,0.0228
UK,1953.0,0.0788499999999999
UK,1959.0,0.2527
UK,1971.0,0.0912
UK,1972.0,0.01045
UK,1978.0,1.46367
UK,1982.0,0.14
UK,1986.0,0.002375
UK,1994.0,0.07275
UK,1996.0,0.14
UK,2002.0,0.0095
UK,2003.0,0.0988
