node,year_construction,capacity_existing
AT,2004,8.590721280002182
AT,2006,27.088193324446973
AT,2007,5.460819883906516
AT,2009,10.611306173740239
AT,2011,3.674143909882692
AT,2012,28.030065665693332
AT,2013,0.22852426038380022
AT,2016,2.1868277305366
AT,2018,24.634075194359227
AT,2020,4.897688462309739
BE,2003,10.68377755390665
BE,2007,45.08989330910974
BE,2008,14.16218228110148
BE,2010,22.076344972312317
BE,2012,5.206684411580529
BE,2013,44.15268994462467
BE,2014,59.981015327046556
BE,2016,16.453124785401684
BE,2018,35.769925571171214
BE,2019,7.747544973066631
BG,2007,3.205201426416687
BG,2012,2.8116100934553114
BG,2015,5.310824745435968
BG,2016,6.872818992870351
BG,2017,8.506458177504339
BG,2019,11.945721884185906
CH,2004,8.590721280002182
CH,2006,27.088193324446973
CH,2007,5.460819883906516
CH,2009,10.611306173740239
CH,2011,3.674143909882692
CH,2012,28.030065665693332
CH,2013,0.22852426038380022
CH,2016,2.1868277305366
CH,2018,24.634075194359227
CH,2020,4.897688462309739
CZ,2010,9.43343750528594
CZ,2012,2.226709993710735
CZ,2014,11.35057218764611
CZ,2017,40.65568599066026
CZ,2018,9.286833338988737
DE,1999,35.54623600678182
DE,2000,9.39875091909576
DE,2001,88.59910770692123
DE,2002,17.609311598479756
DE,2003,76.66291744152512
DE,2004,131.1733958345506
DE,2005,9.39875091909576
DE,2006,9.39875091909576
DE,2007,9.39875091909576
DE,2008,9.39875091909576
DE,2009,9.39875091909576
DE,2010,26.010065533340423
DE,2011,9.39875091909576
DE,2012,63.22938959041579
DE,2013,9.39875091909576
DE,2014,16.392982197398194
DE,2015,42.871169742302584
DE,2019,160.60910947298345
DE,2020,3.789487186134682
EL,2010,2.649380191062841
EL,2012,69.6654444133722
EL,2014,43.11135476631472
EL,2015,14.99525383176163
EL,2016,19.368866692681937
EL,2018,18.67346179623396
EL,2020,66.82562449864594
ES,2012,41.91619043577034
ES,2015,44.02252091732828
ES,2017,17.79857393545651
ES,2018,40.757696316869186
FI,2011,0.7339069146670957
FI,2013,27.678733684439617
FI,2014,4.822814433517996
FI,2018,1.3629663329401038
FI,2019,6.605153711973415
FR,2000,55.834708362136155
FR,2003,49.967619339755956
FR,2008,39.04925978371862
FR,2010,47.48389410338113
FR,2011,22.596501359632242
FR,2013,17.702323149923878
FR,2014,16.869277159355505
FR,2015,53.62764555895733
FR,2017,34.05094976018565
FR,2018,8.92675980635357
HR,2015,0.21106671771264096
HR,2016,1.2663577061228564
HR,2020,4.1789898022390695
HU,2000,1.416455084960443
HU,2003,15.481602737715301
HU,2005,38.96493704100678
HU,2006,2.982010705179877
HU,2007,8.946032115539596
HU,2010,9.244233186057595
HU,2011,4.970023521986827
HU,2014,1.1928042820719473
HU,2015,0.3975957473369441
HU,2016,5.069418198805772
HU,2018,20.37707599207264
HU,2020,12.02744601756901
IE,2016,1.8339877038691412
IE,2017,1.8083594518657629
IE,2019,0.6837920947589163
IE,2020,4.967961674584974
IT,2017,408.1108282852245
NL,1999,15.766983586297494
NL,2000,2.048166703447074
NL,2001,2.048166703447074
NL,2002,3.9139275235955906
NL,2003,73.60550615378696
NL,2004,71.8494938572737
NL,2005,2.048166703447074
NL,2006,2.048166703447074
NL,2007,100.8236338926297
NL,2008,49.240884927396735
NL,2009,24.32752108283083
NL,2010,2.048166703447074
NL,2011,2.048166703447074
NL,2012,2.048166703447074
NL,2013,2.048166703447074
NL,2014,2.048166703447074
NL,2015,196.6247831933999
NL,2016,209.2803055969709
NL,2017,65.36805071709006
NL,2018,86.15178289064652
NL,2019,62.70510004002107
NL,2020,118.31106357974926
NL,2021,108.10426231033763
NO,2005,18.565470408553686
NO,2007,27.42881562725375
NO,2008,101.50740584346642
NO,2009,35.1171975079297
NO,2012,77.71499039059827
NO,2015,109.92306605501328
NO,2017,36.46786091670325
NO,2020,11.595633827397656
PL,2000,6.189555140007816
PL,2002,16.745404434662273
PL,2004,4.739267013589425
PL,2005,13.164631539974055
PL,2006,74.66977809852975
PL,2010,18.535803662052288
PL,2011,15.724185048566397
PL,2012,23.95076022131314
PL,2014,10.309237009336176
PL,2015,39.88320889752923
PL,2017,17.450002444112762
PL,2018,3.5331544437417772
PL,2020,14.395963400356921
PT,2007,0.11507153309759538
PT,2008,8.330698466541048
PT,2010,9.267901831026153
PT,2012,26.762361794737842
PT,2014,42.798950804809444
PT,2017,22.704271226517378
PT,2019,1.9414678897143989
RO,2014,10.851340995446062
RO,2017,4.807086457055809
SE,2016,3.846240007693968
SE,2018,10.844116009508943
SE,2019,10.785182957943999
SK,2000,3.136078418270636
SK,2004,8.635996722537344
SK,2006,2.843560208153662
SK,2010,4.84978885035399
SK,2011,0.1031860904298022
SK,2013,10.42189737377781
SK,2015,14.891122017936748
SK,2017,15.828325382421854
SK,2020,8.851357535665448
UK,2000,30.09568744111038
UK,2001,49.814957431711946
UK,2003,36.018429303279675
UK,2004,57.95809594492772
UK,2011,8.93556099794917
UK,2014,29.453430495459234
UK,2015,8.88579549929497
UK,2018,1.6866508149414903
