node,year_construction,capacity_existing
AT,2000.0,0.0002285714857142
AT,2001.0,0.0004571429714285
AT,2002.0,0.0006857144571428
AT,2003.0,0.0009142859428571
AT,2004.0,0.0011428574285714
AT,2005.0,0.0013714289142857
AT,2006.0,0.0016000003999999
AT,2007.0,0.0021000004
AT,2008.0,0.0043999976999999
AT,2009.0,0.0202000007
AT,2010.0,0.0428999977
AT,2011.0,0.091673996
AT,2012.0,0.1757000046
AT,2013.0,0.2630999756
AT,2014.0,0.1592730101999999
AT,2015.0,0.1518510132
AT,2016.0,0.1558000488000001
AT,2017.0,0.1724799422999998
AT,2018.0,0.1683000489
AT,2019.0,0.2471999663999999
AT,2020.0,0.3408399963
AT,2021.0,0.74
BE,2000.0,0.0006428571428571
BE,2001.0,0.0012857142857142
BE,2002.0,0.0019285714285714
BE,2003.0,0.0025714285714285
BE,2004.0,0.0032142857142857
BE,2005.0,0.0038571428571428
BE,2006.0,0.0045
BE,2007.0,0.0184999999
BE,2008.0,0.0879999992
BE,2009.0,0.5590671854
BE,2010.0,0.4370437163000001
BE,2011.0,1.0678890382
BE,2012.0,0.6940000915000001
BE,2013.0,0.2686859435999998
BE,2014.0,0.1063139648
BE,2015.0,0.1099999696000001
BE,2016.0,0.1800317381999999
BE,2017.0,0.3303866271999999
BE,2018.0,0.4446132507999998
BE,2019.0,0.8170000915000003
BE,2020.0,1.1453724974999997
BE,2021.0,0.5854002686000003
BG,2008.0,0.0012
BG,2009.0,0.005
BG,2010.0,0.0304
BG,2011.0,0.0949999994
BG,2012.0,0.8529999953
BG,2013.0,0.014709999
BG,2014.0,0.0166520005
BG,2015.0,0.018982399
BG,2016.0,0.005
BG,2017.0,0.003
BG,2018.0,0.006
BG,2019.0,0.007
BG,2020.0,0.077
BG,2021.0,0.1600000038
CH,2000.0,0.0002571427428571
CH,2001.0,0.0005142854857142
CH,2002.0,0.0007714282285714
CH,2003.0,0.0010285709714285
CH,2004.0,0.0012857137142857
CH,2005.0,0.0015428564571428
CH,2006.0,0.0017999991999999
CH,2007.0,0.007
CH,2008.0,0.0119799996
CH,2009.0,0.0301300049
CH,2010.0,0.0458699951
CH,2011.0,0.0969999999999999
CH,2012.0,0.2135999908
CH,2013.0,0.330000022
CH,2014.0,0.3030299987999999
CH,2015.0,0.3370999755000001
CH,2016.0,0.2632839507
CH,2017.0,0.2404350893
CH,2018.0,0.27
CH,2019.0,0.33
CH,2020.0,0.4762999876999997
CH,2021.0,0.6830000000000003
CZ,2000.0,3.857142857142858e-05
CZ,2001.0,7.714285714285715e-05
CZ,2002.0,0.0001157142857142
CZ,2003.0,0.0001542857142857
CZ,2004.0,0.0001928571428571
CZ,2005.0,0.0002314285714285
CZ,2006.0,0.00027
CZ,2007.0,0.0046600001
CZ,2008.0,0.0624070019999999
CZ,2009.0,0.427678998
CZ,2010.0,1.4601469574
CZ,2011.0,0.0444740219000001
CZ,2012.0,0.072
CZ,2013.0,0.0548930053999999
CZ,2014.0,0.0026999969
CZ,2015.0,0.0011999969999999
CZ,2016.0,0.000800003
CZ,2017.0,0.005
CZ,2018.0,0.005
CZ,2019.0,0.0050000304999999
CZ,2020.0,0.005
DE,2000.0,0.1204202848285714
DE,2001.0,0.2408405696571428
DE,2002.0,0.3612608544857143
DE,2003.0,0.4816811393142857
DE,2004.0,0.6021014241428571
DE,2005.0,0.7225217089714286
DE,2006.0,0.8429419938
DE,2007.0,1.2707809906
DE,2008.0,1.9499201355
DE,2009.0,4.446428710799999
DE,2010.0,7.439790405400001
DE,2011.0,7.9102348633
DE,2012.0,8.1601430664
DE,2013.0,2.6328076172
DE,2014.0,1.19
DE,2015.0,1.324
DE,2016.0,1.4550683594000002
DE,2017.0,1.66
DE,2018.0,3.5903037109
DE,2019.0,3.832
DE,2020.0,4.885
DE,2021.0,5.933
DK,2000.0,3.928571428571425e-06
DK,2001.0,7.85714285714285e-06
DK,2002.0,1.1785714285714272e-05
DK,2003.0,1.57142857142857e-05
