time,AT,BE,BG,CH,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.036745934351508275,0.0,0.0,0.0,0.0,0.0,0.007550385207493933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001155217694454871,0.0,0.0,0.0,0.0
7,0.003551303613296917,0.0,0.08875744317806229,0.0,0.0,0.0,0.0,0.0,0.045008769727107836,0.0,0.0,0.0,0.10213092621619897,0.11246449298367474,0.0,0.11794705823980266,0.0,0.0,0.0,0.0,0.0,0.009031494091469939,0.0,0.04844310154749697,0.0,0.03445092184672819,0.027448802557976673,0.0
8,0.023534402583858804,0.001673460990616483,0.20936780510073305,0.04859948285160927,0.0,0.0013283249035616904,0.06466546801976157,0.0,0.11147204468331341,0.1691664833155153,0.0,0.08591770043250227,0.20858349982763916,0.247305909113609,0.0,0.24063515813287772,0.0,0.0,0.0,0.0,0.0,0.009306183724472505,0.12565226525963236,0.11979743244850911,0.01757419580674883,0.0742378228337104,0.04965186346655716,0.0
9,0.08229221966536969,0.015392870960170809,0.3089225010890124,0.1739173856806523,0.0030603762781336473,0.016893348781783273,0.15473101244629608,0.008015841467709027,0.19419735248110961,0.3077071770591988,0.0,0.17241393570112076,0.3199711262144323,0.36715083192783654,0.04352687568145285,0.38254806381920325,0.0,0.0011149497811181826,0.02758847077019734,0.024105406599909462,0.04566154841553206,0.009077375885858817,0.24342315899803715,0.1794826823623246,0.12130364639476407,0.19562842812130365,0.05410889390282703,0.047361780245913046
10,0.1520074941617849,0.04598487582836281,0.3288481028120425,0.2937959345673573,0.02536680918107818,0.03819342580991104,0.2686340228422997,0.03358692700539218,0.25577352566850653,0.4754031219465025,0.0,0.2755290032184813,0.38072069418050447,0.39370079853063167,0.04836389711218767,0.46474582087092964,0.016001137396895106,0.03081161346887959,0.09333400221427124,0.08353019443836278,0.09260883329543873,0.010107919549818595,0.41713872433065846,0.22439175436266257,0.2211797905814079,0.3161567436715782,0.04017347553578094,0.10255157252771796
11,0.2047467743911432,0.03858655664294291,0.2815920623301959,0.37951682453276453,0.0641373218747118,0.059092270676702474,0.3355286786392485,0.05290627143895231,0.2747019432582288,0.581486422399345,0.0,0.3359927642796877,0.3696724174805995,0.3312458904657312,0.09033563281575621,0.49692147293285766,0.047526354720459886,0.051753771363091325,0.13657243500591554,0.1431471037303316,0.13880778369439847,0.009235719079050301,0.5410040499285338,0.23632998567785174,0.269025750264085,0.3865601236414508,0.021433006455026497,0.15983913083165524
12,0.20860789686016562,0.012476047941386008,0.22304481313491634,0.40669664373582654,0.06649653408248198,0.06612467714667405,0.3201850876205693,0.03967030619141351,0.23973921799232462,0.6239502872268818,0.0,0.3495998510475291,0.29563915255009576,0.20175375774711152,0.1254809642802776,0.48034580974309826,0.05508652535616094,0.044720885340214095,0.1099229344482237,0.14799511975388008,0.14910119406568434,0.007116491559606372,0.6018522621765616,0.19563575247777418,0.22803869675479171,0.3357323465613619,0.012788665369598726,0.19825326878364738
13,0.17853473623163535,0.001954718395496867,0.16196256819810342,0.3555618846497991,0.03915399079331185,0.046651482046309166,0.23527103668269858,0.016778384035010818,0.1688695429835865,0.6088029590793794,0.0,0.32110703304402044,0.20379176826745532,0.06718946950260898,0.13891344469619685,0.4074902356458093,0.023772627456419795,0.011072921301816443,0.03279429609252552,0.11775637982457533,0.11260045180035766,0.0037095795420089045,0.6051073844062969,0.12346861477733634,0.13445694888751836,0.2370695631500683,0.009537910781733062,0.2001114030069314
