node,year_construction,capacity_existing
DE,2019,0.005441396821917808
DE,2020,0.0010575208858447488
DE,2021,0.003929633456621004
AT,2019,0.0006044675228310503
AT,2020,0.0003781390273972603
AT,2021,0.0008692441164383563
CH,2019,0.0006044675228310503
CH,2020,0.0003781390273972603
CH,2021,0.0008692441164383563
SE,2019,0.0007303817412480974
SE,2020,0.0007052781719939117
SE,2021,0.0009573708569254186
DK,2019,0.0007303817412480974
DK,2020,0.0007052781719939117
DK,2021,0.0009573708569254186
FI,2019,0.0007303817412480974
FI,2020,0.0007052781719939117
FI,2021,0.0009573708569254186
ES,2019,0.0007914230517503805
ES,2020,0.0003850094779299848
ES,2021,0.0009150911613394217
FR,2019,0.0007914230517503805
FR,2020,0.0003850094779299848
FR,2021,0.0009150911613394217
UK,2019,0.0007914230517503805
UK,2020,0.0003850094779299848
UK,2021,0.0009150911613394217
