year,capex_specific_conversion
2022,2579.820083622231
2023,2579.820083622231
2024,2579.820083622231
2025,2579.820083622231
2026,2564.184810388157
2027,2548.549537154083
2028,2532.9142639200086
2029,2517.2789906859343
2030,2501.64371745186
2031,2493.826080834823
2032,2486.0084442177863
2033,2478.1908076007485
2034,2470.3731709837116
2035,2462.5555343666747
2036,2454.7378977496373
2037,2446.9202611326004
2038,2439.1026245155635
2039,2431.2849878985267
2040,2423.4673512814893
2041,2415.6497146644524
2042,2407.8320780474155
2043,2400.0144414303777
2044,2392.196804813341
2045,2384.379168196304
2046,2376.5615315792666
2047,2368.7438949622297
2048,2360.9262583451928
2049,2353.1086217281554
2050,2345.2909851111185
