year,opex_specific_fixed
2022,105.53809433000035
2023,105.53809433000035
2024,105.53809433000035
2025,105.53809433000035
2026,103.66186154191146
2027,101.78562875382256
2028,99.90939596573367
2029,98.03316317764477
2030,96.15693038955587
2031,95.21881399551143
2032,94.28069760146698
2033,93.34258120742253
2034,92.40446481337807
2035,91.46634841933363
2036,90.52823202528919
2037,89.59011563124473
2038,88.65199923720029
2039,87.71388284315582
2040,86.77576644911137
2041,86.07217915357803
2042,85.36859185804471
2043,84.66500456251137
2044,83.96141726697803
2045,83.25782997144469
2046,82.55424267591137
2047,81.85065538037803
2048,81.1470680848447
2049,80.44348078931137
2050,79.73989349377804
